Name,Win %,patch
TrundleTrundle,0.00%,13.6
TryndamereTryndamere,47.76%,13.6
TryndamereTryndamere,40.00%,13.6
Twisted FateTwisted Fate,45.07%,13.6
TwitchTwitch,57.14%,13.6
TwitchTwitch,62.50%,13.6
UdyrUdyr,59.38%,13.6
UrgotUrgot,37.04%,13.6
VarusVarus,54.44%,13.6
VarusVarus,55.17%,13.6
VayneVayne,49.21%,13.6
VayneVayne,53.62%,13.6
VeigarVeigar,47.43%,13.6
VeigarVeigar,44.12%,13.6
Vel'KozVel'Koz,53.57%,13.6
Vel'KozVel'Koz,50.00%,13.6
VexVex,54.74%,13.6
ViVi,52.36%,13.6
ViegoViego,48.74%,13.6
ViktorViktor,53.00%,13.6
VladimirVladimir,53.38%,13.6
VladimirVladimir,47.62%,13.6
VolibearVolibear,44.68%,13.6
WarwickWarwick,53.66%,13.6
WarwickWarwick,44.90%,13.6
WukongWukong,50.27%,13.6
WukongWukong,63.64%,13.6
XayahXayah,52.38%,13.6
XerathXerath,53.57%,13.6
XerathXerath,39.53%,13.6
Xin ZhaoXin Zhao,59.22%,13.6
YasuoYasuo,49.35%,13.6
YasuoYasuo,53.42%,13.6
YasuoYasuo,46.00%,13.6
YoneYone,51.09%,13.6
YoneYone,49.73%,13.6
YorickYorick,46.15%,13.6
YuumiYuumi,49.83%,13.6
ZacZac,56.63%,13.6
ZedZed,42.45%,13.6
ZedZed,45.21%,13.6
ZeriZeri,53.17%,13.6
ZiggsZiggs,52.00%,13.6
ZiggsZiggs,39.29%,13.6
ZileanZilean,53.45%,13.6
ZoeZoe,57.89%,13.6
ZyraZyra,58.44%,13.6
AatroxAatrox,40.59%,13.5
AhriAhri,53.78%,13.5
AkaliAkali,49.00%,13.5
AkaliAkali,48.72%,13.5
AkshanAkshan,58.65%,13.5
AkshanAkshan,60.00%,13.5
AlistarAlistar,55.56%,13.5
AmumuAmumu,52.56%,13.5
AmumuAmumu,50.77%,13.5
AniviaAnivia,48.67%,13.5
AnnieAnnie,58.80%,13.5
AnnieAnnie,58.40%,13.5
ApheliosAphelios,49.72%,13.5
AsheAshe,50.00%,13.5
AsheAshe,50.32%,13.5
Aurelion SolAurelion Sol,48.64%,13.5
AzirAzir,45.77%,13.5
AzirAzir,36.67%,13.5
BardBard,53.95%,13.5
Bel'VethBel'Veth,55.73%,13.5
BlitzcrankBlitzcrank,54.19%,13.5
BrandBrand,50.00%,13.5
BraumBraum,49.53%,13.5
CaitlynCaitlyn,54.65%,13.5
CamilleCamille,54.87%,13.5
CassiopeiaCassiopeia,51.97%,13.5
CassiopeiaCassiopeia,47.73%,13.5
Cho'GathCho'Gath,52.72%,13.5
Cho'GathCho'Gath,53.33%,13.5
Cho'GathCho'Gath,46.05%,13.5
CorkiCorki,43.59%,13.5
DariusDarius,51.60%,13.5
DianaDiana,50.99%,13.5
DianaDiana,50.92%,13.5
Dr. MundoDr. Mundo,50.00%,13.5
DravenDraven,51.89%,13.5
EkkoEkko,50.00%,13.5
EkkoEkko,54.71%,13.5
EliseElise,53.95%,13.5
EvelynnEvelynn,46.89%,13.5
EzrealEzreal,50.54%,13.5
FiddlesticksFiddlesticks,50.39%,13.5
FioraFiora,53.93%,13.5
FizzFizz,52.87%,13.5
GalioGalio,57.14%,13.5
GangplankGangplank,46.36%,13.5
GangplankGangplank,60.61%,13.5
GarenGaren,52.25%,13.5
GnarGnar,45.56%,13.5
GragasGragas,52.83%,13.5
GragasGragas,48.52%,13.5
GragasGragas,51.56%,13.5
GravesGraves,48.00%,13.5
GwenGwen,52.02%,13.5
HecarimHecarim,55.29%,13.5
HeimerdingerHeimerdinger,50.82%,13.5
HeimerdingerHeimerdinger,52.00%,13.5
IllaoiIllaoi,50.93%,13.5
IreliaIrelia,51.11%,13.5
IreliaIrelia,43.40%,13.5
IvernIvern,46.03%,13.5
JannaJanna,60.42%,13.5
JannaJanna,47.02%,13.5
Jarvan IVJarvan IV,53.16%,13.5
JaxJax,49.70%,13.5
JayceJayce,47.10%,13.5
JayceJayce,51.31%,13.5
JhinJhin,49.50%,13.5
JinxJinx,52.38%,13.5
K'SanteK'Sante,51.04%,13.5
Kai'SaKai'Sa,54.48%,13.5
KalistaKalista,50.40%,13.5
KarmaKarma,59.62%,13.5
KarmaKarma,47.64%,13.5
KarthusKarthus,51.55%,13.5
KarthusKarthus,51.15%,13.5
KarthusKarthus,41.03%,13.5
KassadinKassadin,45.73%,13.5
KatarinaKatarina,44.49%,13.5
KayleKayle,59.15%,13.5
KayleKayle,55.36%,13.5
KaynKayn,49.88%,13.5
KennenKennen,50.88%,13.5
Kha'ZixKha'Zix,47.95%,13.5
KindredKindred,53.26%,13.5
KledKled,51.52%,13.5
KledKled,48.15%,13.5
Kog'MawKog'Maw,58.33%,13.5
Kog'MawKog'Maw,45.00%,13.5
LeBlancLeBlanc,47.29%,13.5
Lee SinLee Sin,52.91%,13.5
LeonaLeona,48.57%,13.5
LilliaLillia,49.51%,13.5
LissandraLissandra,52.50%,13.5
LucianLucian,52.81%,13.5
LuluLulu,46.77%,13.5
LuxLux,51.76%,13.5
LuxLux,49.30%,13.5
MalphiteMalphite,52.97%,13.5
MalphiteMalphite,52.31%,13.5
MalzaharMalzahar,46.73%,13.5
MaokaiMaokai,66.67%,13.5
MaokaiMaokai,50.00%,13.5
MaokaiMaokai,30.00%,13.5
Master YiMaster Yi,40.76%,13.5
Miss FortuneMiss Fortune,48.94%,13.5
Miss FortuneMiss Fortune,36.67%,13.5
MordekaiserMordekaiser,47.59%,13.5
MorganaMorgana,52.99%,13.5
NamiNami,49.24%,13.5
NasusNasus,51.90%,13.5
NasusNasus,42.55%,13.5
NautilusNautilus,53.22%,13.5
NeekoNeeko,58.33%,13.5
NidaleeNidalee,51.60%,13.5
NilahNilah,50.98%,13.5
NocturneNocturne,55.56%,13.5
NunuNunu,42.86%,13.5
NunuNunu,53.57%,13.5
OlafOlaf,62.31%,13.5
OlafOlaf,50.00%,13.5
OriannaOrianna,50.26%,13.5
OrnnOrnn,45.45%,13.5
PantheonPantheon,62.58%,13.5
PantheonPantheon,51.35%,13.5
PantheonPantheon,51.37%,13.5
PantheonPantheon,50.77%,13.5
PoppyPoppy,61.72%,13.5
PoppyPoppy,54.17%,13.5
PoppyPoppy,51.79%,13.5
PykePyke,54.32%,13.5
QiyanaQiyana,51.89%,13.5
QiyanaQiyana,58.97%,13.5
QuinnQuinn,53.23%,13.5
RakanRakan,54.52%,13.5
RammusRammus,52.91%,13.5
Rek'SaiRek'Sai,71.43%,13.5
Rek'SaiRek'Sai,55.46%,13.5
RellRell,55.45%,13.5
Renata GlascRenata Glasc,55.15%,13.5
RenektonRenekton,50.53%,13.5
RengarRengar,55.22%,13.5
RengarRengar,56.00%,13.5
RivenRiven,54.58%,13.5
RumbleRumble,56.71%,13.5
RumbleRumble,60.42%,13.5
RumbleRumble,54.26%,13.5
RyzeRyze,52.53%,13.5
RyzeRyze,51.61%,13.5
SamiraSamira,55.68%,13.5
SejuaniSejuani,46.45%,13.5
SejuaniSejuani,43.64%,13.5
SennaSenna,48.17%,13.5
SeraphineSeraphine,55.22%,13.5
SeraphineSeraphine,48.33%,13.5
SettSett,52.36%,13.5
ShacoShaco,44.30%,13.5
ShacoShaco,45.71%,13.5
ShenShen,55.80%,13.5
ShyvanaShyvana,47.62%,13.5
ShyvanaShyvana,53.13%,13.5
SingedSinged,65.52%,13.5
SingedSinged,53.42%,13.5
SionSion,48.11%,13.5
SionSion,58.43%,13.5
SivirSivir,55.90%,13.5
SkarnerSkarner,61.36%,13.5
SonaSona,52.17%,13.5
SorakaSoraka,48.09%,13.5
SwainSwain,72.00%,13.5
SwainSwain,56.72%,13.5
SwainSwain,52.63%,13.5
SylasSylas,53.43%,13.5
SylasSylas,52.16%,13.5
SyndraSyndra,54.79%,13.5
Tahm KenchTahm Kench,57.14%,13.5
Tahm KenchTahm Kench,47.06%,13.5
TaliyahTaliyah,71.15%,13.5
TaliyahTaliyah,53.07%,13.5
TalonTalon,56.34%,13.5
TalonTalon,44.44%,13.5
TaricTaric,57.48%,13.5
TeemoTeemo,55.04%,13.5
ThreshThresh,54.57%,13.5
TristanaTristana,52.00%,13.5
TristanaTristana,50.81%,13.5
TrundleTrundle,43.48%,13.5
TryndamereTryndamere,46.67%,13.5
TryndamereTryndamere,42.11%,13.5
Twisted FateTwisted Fate,54.02%,13.5
TwitchTwitch,52.17%,13.5
TwitchTwitch,50.72%,13.5
UdyrUdyr,52.55%,13.5
UrgotUrgot,33.33%,13.5
VarusVarus,50.67%,13.5
VayneVayne,54.55%,13.5
VayneVayne,47.69%,13.5
VeigarVeigar,56.27%,13.5
VeigarVeigar,54.64%,13.5
Vel'KozVel'Koz,48.72%,13.5
VexVex,54.35%,13.5
ViVi,52.71%,13.5
ViegoViego,51.80%,13.5
ViktorViktor,51.75%,13.5
VladimirVladimir,53.81%,13.5
VladimirVladimir,47.29%,13.5
VolibearVolibear,56.25%,13.5
VolibearVolibear,46.15%,13.5
WarwickWarwick,56.16%,13.5
WarwickWarwick,40.00%,13.5
WukongWukong,54.73%,13.5
WukongWukong,56.64%,13.5
XayahXayah,54.34%,13.5
XerathXerath,51.02%,13.5
XerathXerath,38.16%,13.5
Xin ZhaoXin Zhao,52.52%,13.5
YasuoYasuo,53.54%,13.5
YasuoYasuo,56.58%,13.5
YasuoYasuo,45.24%,13.5
YoneYone,51.79%,13.5
YoneYone,53.29%,13.5
YorickYorick,44.68%,13.5
YuumiYuumi,51.49%,13.5
ZacZac,54.55%,13.5
ZacZac,60.00%,13.5
ZacZac,44.44%,13.5
ZacZac,45.65%,13.5
ZedZed,52.59%,13.5
ZedZed,42.22%,13.5
ZeriZeri,54.41%,13.5
ZiggsZiggs,64.44%,13.5
ZiggsZiggs,52.08%,13.5
ZileanZilean,53.19%,13.5
ZoeZoe,57.14%,13.5
ZyraZyra,42.86%,13.5
AatroxAatrox,48.35%,13.4
AhriAhri,52.99%,13.4
AkaliAkali,46.03%,13.4
AkaliAkali,47.79%,13.4
AkshanAkshan,62.50%,13.4
AkshanAkshan,46.95%,13.4
AlistarAlistar,50.00%,13.4
AlistarAlistar,44.64%,13.4
AlistarAlistar,31.91%,13.4
AmumuAmumu,52.17%,13.4
AmumuAmumu,47.79%,13.4
AniviaAnivia,52.67%,13.4
AnnieAnnie,51.22%,13.4
AnnieAnnie,56.93%,13.4
ApheliosAphelios,49.21%,13.4
AsheAshe,53.21%,13.4
AsheAshe,56.43%,13.4
Aurelion SolAurelion Sol,57.03%,13.4
AzirAzir,46.43%,13.4
BardBard,48.98%,13.4
Bel'VethBel'Veth,52.73%,13.4
BlitzcrankBlitzcrank,53.06%,13.4
BrandBrand,42.59%,13.4
BraumBraum,50.71%,13.4
CaitlynCaitlyn,50.84%,13.4
CamilleCamille,49.11%,13.4
CassiopeiaCassiopeia,64.10%,13.4
CassiopeiaCassiopeia,50.54%,13.4
Cho'GathCho'Gath,57.14%,13.4
Cho'GathCho'Gath,47.55%,13.4
Cho'GathCho'Gath,46.81%,13.4
CorkiCorki,51.47%,13.4
DariusDarius,51.77%,13.4
DianaDiana,55.81%,13.4
DianaDiana,43.21%,13.4
Dr. MundoDr. Mundo,57.63%,13.4
DravenDraven,52.62%,13.4
EkkoEkko,53.53%,13.4
EkkoEkko,50.00%,13.4
EliseElise,52.47%,13.4
EvelynnEvelynn,52.59%,13.4
EzrealEzreal,49.45%,13.4
FiddlesticksFiddlesticks,46.95%,13.4
FioraFiora,53.64%,13.4
FizzFizz,54.39%,13.4
GalioGalio,55.62%,13.4
GangplankGangplank,50.72%,13.4
GangplankGangplank,58.11%,13.4
GarenGaren,47.22%,13.4
GnarGnar,42.92%,13.4
GragasGragas,55.94%,13.4
GragasGragas,55.15%,13.4
GragasGragas,53.58%,13.4
GravesGraves,56.37%,13.4
GwenGwen,48.37%,13.4
HecarimHecarim,53.75%,13.4
HeimerdingerHeimerdinger,55.32%,13.4
HeimerdingerHeimerdinger,53.66%,13.4
HeimerdingerHeimerdinger,54.69%,13.4
HeimerdingerHeimerdinger,50.98%,13.4
IllaoiIllaoi,53.59%,13.4
IreliaIrelia,53.50%,13.4
IreliaIrelia,51.47%,13.4
IvernIvern,61.54%,13.4
JannaJanna,62.16%,13.4
JannaJanna,50.60%,13.4
Jarvan IVJarvan IV,54.21%,13.4
JaxJax,55.58%,13.4
JayceJayce,51.64%,13.4
JayceJayce,59.66%,13.4
JhinJhin,50.08%,13.4
JinxJinx,49.25%,13.4
K'SanteK'Sante,51.24%,13.4
Kai'SaKai'Sa,52.48%,13.4
KalistaKalista,49.75%,13.4
KalistaKalista,41.67%,13.4
KarmaKarma,48.55%,13.4
KarthusKarthus,58.18%,13.4
KarthusKarthus,47.25%,13.4
KassadinKassadin,46.56%,13.4
KatarinaKatarina,44.69%,13.4
KayleKayle,56.20%,13.4
KayleKayle,52.73%,13.4
KaynKayn,50.72%,13.4
KaynKayn,61.90%,13.4
KennenKennen,54.95%,13.4
Kha'ZixKha'Zix,50.25%,13.4
KindredKindred,54.97%,13.4
KledKled,49.59%,13.4
KledKled,56.76%,13.4
Kog'MawKog'Maw,61.43%,13.4
LeBlancLeBlanc,55.87%,13.4
Lee SinLee Sin,52.80%,13.4
Lee SinLee Sin,53.41%,13.4
LeonaLeona,46.95%,13.4
LilliaLillia,42.62%,13.4
LissandraLissandra,55.56%,13.4
LucianLucian,49.10%,13.4
LuluLulu,51.41%,13.4
LuxLux,48.65%,13.4
LuxLux,45.32%,13.4
MalphiteMalphite,48.24%,13.4
MalphiteMalphite,59.09%,13.4
MalzaharMalzahar,54.84%,13.4
MaokaiMaokai,56.67%,13.4
MaokaiMaokai,51.43%,13.4
MaokaiMaokai,56.00%,13.4
Master YiMaster Yi,50.61%,13.4
Master YiMaster Yi,57.78%,13.4
Miss FortuneMiss Fortune,49.50%,13.4
Miss FortuneMiss Fortune,38.10%,13.4
MordekaiserMordekaiser,46.79%,13.4
MorganaMorgana,53.06%,13.4
NamiNami,53.76%,13.4
NasusNasus,54.55%,13.4
NasusNasus,50.59%,13.4
NautilusNautilus,53.67%,13.4
NeekoNeeko,56.25%,13.4
NidaleeNidalee,52.87%,13.4
NilahNilah,61.90%,13.4
NocturneNocturne,55.70%,13.4
NunuNunu,56.60%,13.4
NunuNunu,37.04%,13.4
OlafOlaf,55.12%,13.4
OlafOlaf,69.09%,13.4
OriannaOrianna,48.72%,13.4
OrnnOrnn,51.20%,13.4
PantheonPantheon,64.91%,13.4
PantheonPantheon,53.85%,13.4
PantheonPantheon,51.09%,13.4
PantheonPantheon,45.45%,13.4
PoppyPoppy,55.08%,13.4
PoppyPoppy,58.00%,13.4
PoppyPoppy,50.00%,13.4
PykePyke,56.36%,13.4
QiyanaQiyana,45.92%,13.4
QuinnQuinn,61.90%,13.4
QuinnQuinn,56.34%,13.4
RakanRakan,57.39%,13.4
RammusRammus,55.15%,13.4
Rek'SaiRek'Sai,44.62%,13.4
RellRell,48.31%,13.4
Renata GlascRenata Glasc,50.00%,13.4
RenektonRenekton,48.41%,13.4
RenektonRenekton,57.45%,13.4
RengarRengar,54.89%,13.4
RengarRengar,48.95%,13.4
RivenRiven,58.99%,13.4
RumbleRumble,55.24%,13.4
RumbleRumble,51.18%,13.4
RyzeRyze,58.82%,13.4
RyzeRyze,35.29%,13.4
SamiraSamira,49.03%,13.4
SejuaniSejuani,54.73%,13.4
SejuaniSejuani,58.62%,13.4
SennaSenna,51.88%,13.4
SennaSenna,58.49%,13.4
SeraphineSeraphine,55.56%,13.4
SeraphineSeraphine,55.91%,13.4
SeraphineSeraphine,48.19%,13.4
SettSett,46.70%,13.4
SettSett,52.00%,13.4
ShacoShaco,62.86%,13.4
ShacoShaco,46.03%,13.4
ShenShen,59.20%,13.4
ShenShen,58.33%,13.4
ShyvanaShyvana,45.00%,13.4
SingedSinged,50.91%,13.4
SingedSinged,46.67%,13.4
SionSion,51.20%,13.4
SionSion,52.63%,13.4
SivirSivir,53.04%,13.4
SkarnerSkarner,53.15%,13.4
SonaSona,55.17%,13.4
SorakaSoraka,50.30%,13.4
SwainSwain,55.93%,13.4
SwainSwain,40.00%,13.4
SylasSylas,52.80%,13.4
SylasSylas,48.67%,13.4
SyndraSyndra,50.15%,13.4
Tahm KenchTahm Kench,47.37%,13.4
TaliyahTaliyah,53.72%,13.4
TaliyahTaliyah,53.57%,13.4
TalonTalon,53.23%,13.4
TalonTalon,48.35%,13.4
TaricTaric,61.86%,13.4
TeemoTeemo,56.34%,13.4
ThreshThresh,53.36%,13.4
TristanaTristana,57.79%,13.4
TristanaTristana,53.65%,13.4
TrundleTrundle,43.75%,13.4
TryndamereTryndamere,56.34%,13.4
TryndamereTryndamere,51.22%,13.4
Twisted FateTwisted Fate,47.48%,13.4
TwitchTwitch,50.42%,13.4
TwitchTwitch,50.97%,13.4
UdyrUdyr,52.78%,13.4
UdyrUdyr,57.14%,13.4
UrgotUrgot,50.00%,13.4
VarusVarus,50.70%,13.4
VayneVayne,54.31%,13.4
VayneVayne,46.15%,13.4
VeigarVeigar,46.67%,13.4
VeigarVeigar,47.30%,13.4
Vel'KozVel'Koz,65.52%,13.4
VexVex,57.48%,13.4
ViVi,51.53%,13.4
ViegoViego,49.25%,13.4
ViktorViktor,50.61%,13.4
VladimirVladimir,50.58%,13.4
VladimirVladimir,53.00%,13.4
VolibearVolibear,66.67%,13.4
VolibearVolibear,46.99%,13.4
WarwickWarwick,50.98%,13.4
WarwickWarwick,44.00%,13.4
WukongWukong,51.00%,13.4
WukongWukong,54.69%,13.4
XayahXayah,56.47%,13.4
XerathXerath,46.81%,13.4
XerathXerath,42.11%,13.4
Xin ZhaoXin Zhao,51.39%,13.4
YasuoYasuo,50.50%,13.4
YasuoYasuo,52.08%,13.4
YoneYone,56.00%,13.4
YoneYone,48.98%,13.4
YorickYorick,50.54%,13.4
YuumiYuumi,41.30%,13.4
ZacZac,51.79%,13.4
ZacZac,53.33%,13.4
ZedZed,53.68%,13.4
ZedZed,55.03%,13.4
ZeriZeri,54.41%,13.4
ZiggsZiggs,68.85%,13.4
ZiggsZiggs,58.18%,13.4
ZileanZilean,52.38%,13.4
ZoeZoe,46.19%,13.4
ZyraZyra,44.12%,13.4
AatroxAatrox,51.53%,13.3
AhriAhri,52.94%,13.3
AkaliAkali,52.76%,13.3
AkaliAkali,39.47%,13.3
AkshanAkshan,57.69%,13.3
AkshanAkshan,57.14%,13.3
AlistarAlistar,52.73%,13.3
AlistarAlistar,35.14%,13.3
AmumuAmumu,55.56%,13.3
AmumuAmumu,44.66%,13.3
AniviaAnivia,50.29%,13.3
AnnieAnnie,61.30%,13.3
AnnieAnnie,55.56%,13.3
ApheliosAphelios,54.60%,13.3
AsheAshe,53.02%,13.3
AsheAshe,53.13%,13.3
Aurelion SolAurelion Sol,51.76%,13.3
AzirAzir,48.28%,13.3
BardBard,45.00%,13.3
Bel'VethBel'Veth,49.74%,13.3
Bel'VethBel'Veth,40.82%,13.3
BlitzcrankBlitzcrank,52.62%,13.3
BrandBrand,56.41%,13.3
BrandBrand,47.06%,13.3
BraumBraum,63.58%,13.3
CaitlynCaitlyn,50.74%,13.3
CamilleCamille,52.05%,13.3
CassiopeiaCassiopeia,57.59%,13.3
CassiopeiaCassiopeia,44.44%,13.3
Cho'GathCho'Gath,43.48%,13.3
Cho'GathCho'Gath,44.07%,13.3
CorkiCorki,68.33%,13.3
DariusDarius,51.55%,13.3
DianaDiana,53.11%,13.3
DianaDiana,50.00%,13.3
Dr. MundoDr. Mundo,66.00%,13.3
DravenDraven,51.95%,13.3
EkkoEkko,51.53%,13.3
EkkoEkko,47.90%,13.3
