,Name,Win %,patch
0,AatroxAatrox,51.07%,12.19
1,AhriAhri,46.15%,12.19
2,AkaliAkali,49.00%,12.19
3,AkaliAkali,47.00%,12.19
4,AkshanAkshan,48.78%,12.19
5,AkshanAkshan,44.30%,12.19
6,AlistarAlistar,48.37%,12.19
7,AmumuAmumu,49.56%,12.19
8,AniviaAnivia,55.26%,12.19
9,AnnieAnnie,50.00%,12.19
10,AnnieAnnie,46.27%,12.19
11,ApheliosAphelios,46.48%,12.19
12,AsheAshe,55.56%,12.19
13,AsheAshe,44.92%,12.19
14,Aurelion SolAurelion Sol,68.97%,12.19
15,Aurelion SolAurelion Sol,55.56%,12.19
16,AzirAzir,44.48%,12.19
17,BardBard,46.37%,12.19
18,Bel'VethBel'Veth,53.58%,12.19
19,BlitzcrankBlitzcrank,59.82%,12.19
20,BlitzcrankBlitzcrank,49.09%,12.19
21,BrandBrand,59.09%,12.19
22,BraumBraum,57.69%,12.19
23,CaitlynCaitlyn,53.03%,12.19
24,CamilleCamille,46.86%,12.19
25,CassiopeiaCassiopeia,58.62%,12.19
26,Cho'GathCho'Gath,54.55%,12.19
27,Cho'GathCho'Gath,41.86%,12.19
28,CorkiCorki,59.18%,12.19
29,DariusDarius,42.16%,12.19
30,DianaDiana,50.61%,12.19
31,DianaDiana,47.95%,12.19
32,Dr. MundoDr. Mundo,31.43%,12.19
33,DravenDraven,53.37%,12.19
34,EkkoEkko,52.17%,12.19
35,EkkoEkko,50.54%,12.19
36,EliseElise,53.85%,12.19
37,EvelynnEvelynn,53.33%,12.19
38,EzrealEzreal,51.83%,12.19
39,FiddlesticksFiddlesticks,61.86%,12.19
40,FioraFiora,51.66%,12.19
41,FizzFizz,48.28%,12.19
42,GalioGalio,48.36%,12.19
43,GangplankGangplank,49.83%,12.19
44,GarenGaren,46.67%,12.19
45,GnarGnar,46.46%,12.19
46,GragasGragas,45.83%,12.19
47,GragasGragas,41.07%,12.19
48,GragasGragas,41.67%,12.19
