,Name,Win %,patch
0,AatroxAatrox,53.31%,12.1
1,AhriAhri,50.00%,12.1
2,AkaliAkali,53.47%,12.1
3,AkaliAkali,50.44%,12.1
4,AkshanAkshan,56.26%,12.1
5,AkshanAkshan,54.01%,12.1
6,AlistarAlistar,53.26%,12.1
7,AmumuAmumu,50.00%,12.1
8,AniviaAnivia,55.00%,12.1
9,AnnieAnnie,61.54%,12.1
10,ApheliosAphelios,51.98%,12.1
11,AsheAshe,48.51%,12.1
12,Aurelion SolAurelion Sol,49.35%,12.1
13,AzirAzir,50.00%,12.1
14,BardBard,53.42%,12.1
15,BlitzcrankBlitzcrank,51.16%,12.1
16,BrandBrand,44.07%,12.1
17,BraumBraum,59.49%,12.1
18,CaitlynCaitlyn,55.30%,12.1
19,CamilleCamille,50.43%,12.1
20,CassiopeiaCassiopeia,65.22%,12.1
21,CassiopeiaCassiopeia,49.26%,12.1
22,CassiopeiaCassiopeia,41.46%,12.1
23,Cho'GathCho'Gath,64.47%,12.1
24,Cho'GathCho'Gath,39.13%,12.1
25,CorkiCorki,51.99%,12.1
26,DariusDarius,53.38%,12.1
27,DianaDiana,53.25%,12.1
28,Dr. MundoDr. Mundo,50.00%,12.1
29,DravenDraven,50.29%,12.1
30,EkkoEkko,51.37%,12.1
31,EkkoEkko,47.66%,12.1
32,EliseElise,50.00%,12.1
33,EvelynnEvelynn,53.14%,12.1
34,EzrealEzreal,50.23%,12.1
35,FiddlesticksFiddlesticks,50.00%,12.1
36,FioraFiora,54.80%,12.1
37,FizzFizz,45.76%,12.1
38,GalioGalio,51.01%,12.1
39,GalioGalio,58.14%,12.1
40,GangplankGangplank,48.95%,12.1
41,GarenGaren,60.00%,12.1
42,GnarGnar,56.04%,12.1
43,GragasGragas,51.44%,12.1
44,GragasGragas,53.68%,12.1
45,GragasGragas,58.23%,12.1
46,GravesGraves,51.85%,12.1
47,GravesGraves,48.41%,12.1
48,GwenGwen,53.85%,12.1
49,HecarimHecarim,54.76%,12.1
50,HeimerdingerHeimerdinger,50.00%,12.1
51,HeimerdingerHeimerdinger,55.00%,12.1
52,HeimerdingerHeimerdinger,35.48%,12.1
53,IllaoiIllaoi,48.24%,12.1
54,IreliaIrelia,50.15%,12.1
55,IreliaIrelia,44.62%,12.1
56,IvernIvern,37.93%,12.1
57,JannaJanna,57.99%,12.1
58,Jarvan IVJarvan IV,54.69%,12.1
59,JaxJax,55.07%,12.1
60,JayceJayce,53.58%,12.1
61,JayceJayce,47.76%,12.1
62,JhinJhin,52.98%,12.1
63,JinxJinx,53.68%,12.1
64,Kai'SaKai'Sa,53.27%,12.1
65,KalistaKalista,50.97%,12.1
66,KarmaKarma,51.14%,12.1
67,KarthusKarthus,59.62%,12.1
68,KarthusKarthus,57.14%,12.1
69,KarthusKarthus,50.00%,12.1
70,KassadinKassadin,55.40%,12.1
71,KatarinaKatarina,47.67%,12.1
72,KayleKayle,50.85%,12.1
73,KayleKayle,39.13%,12.1
74,KaynKayn,53.85%,12.1
75,KennenKennen,48.30%,12.1
76,Kha'ZixKha'Zix,50.32%,12.1
77,KindredKindred,55.65%,12.1
78,KledKled,50.85%,12.1
79,Kog'MawKog'Maw,61.76%,12.1
80,LeBlancLeBlanc,52.87%,12.1
81,Lee SinLee Sin,54.00%,12.1
82,LeonaLeona,54.08%,12.1
83,LilliaLillia,51.75%,12.1
84,LissandraLissandra,50.00%,12.1
85,LucianLucian,54.21%,12.1
86,LucianLucian,49.45%,12.1
