,Name,Win %,patch
0,AatroxAatrox,48.35%,13.4
1,AhriAhri,52.99%,13.4
2,AkaliAkali,46.03%,13.4
3,AkaliAkali,47.79%,13.4
4,AkshanAkshan,62.50%,13.4
5,AkshanAkshan,46.95%,13.4
6,AlistarAlistar,50.00%,13.4
7,AlistarAlistar,44.64%,13.4
8,AlistarAlistar,31.91%,13.4
9,AmumuAmumu,52.17%,13.4
10,AmumuAmumu,47.79%,13.4
11,AniviaAnivia,52.67%,13.4
12,AnnieAnnie,51.22%,13.4
13,AnnieAnnie,56.93%,13.4
14,ApheliosAphelios,49.21%,13.4
15,AsheAshe,53.21%,13.4
16,AsheAshe,56.43%,13.4
17,Aurelion SolAurelion Sol,57.03%,13.4
18,AzirAzir,46.43%,13.4
19,BardBard,48.98%,13.4
20,Bel'VethBel'Veth,52.73%,13.4
21,BlitzcrankBlitzcrank,53.06%,13.4
22,BrandBrand,42.59%,13.4
23,BraumBraum,50.71%,13.4
24,CaitlynCaitlyn,50.84%,13.4
25,CamilleCamille,49.11%,13.4
26,CassiopeiaCassiopeia,64.10%,13.4
27,CassiopeiaCassiopeia,50.54%,13.4
28,Cho'GathCho'Gath,57.14%,13.4
29,Cho'GathCho'Gath,47.55%,13.4
30,Cho'GathCho'Gath,46.81%,13.4
31,CorkiCorki,51.47%,13.4
32,DariusDarius,51.77%,13.4
33,DianaDiana,55.81%,13.4
34,DianaDiana,43.21%,13.4
35,Dr. MundoDr. Mundo,57.63%,13.4
36,DravenDraven,52.62%,13.4
37,EkkoEkko,53.53%,13.4
38,EkkoEkko,50.00%,13.4
39,EliseElise,52.47%,13.4
40,EvelynnEvelynn,52.59%,13.4
41,EzrealEzreal,49.45%,13.4
42,FiddlesticksFiddlesticks,46.95%,13.4
43,FioraFiora,53.64%,13.4
44,FizzFizz,54.39%,13.4
45,GalioGalio,55.62%,13.4
46,GangplankGangplank,50.72%,13.4
47,GangplankGangplank,58.11%,13.4
48,GarenGaren,47.22%,13.4
49,GnarGnar,42.92%,13.4
50,GragasGragas,55.94%,13.4
51,GragasGragas,55.15%,13.4
52,GragasGragas,53.58%,13.4
53,GravesGraves,56.37%,13.4
54,GwenGwen,48.37%,13.4
55,HecarimHecarim,53.75%,13.4
56,HeimerdingerHeimerdinger,55.32%,13.4
57,HeimerdingerHeimerdinger,53.66%,13.4
58,HeimerdingerHeimerdinger,54.69%,13.4
59,HeimerdingerHeimerdinger,50.98%,13.4
60,IllaoiIllaoi,53.59%,13.4
61,IreliaIrelia,53.50%,13.4
62,IreliaIrelia,51.47%,13.4
63,IvernIvern,61.54%,13.4
64,JannaJanna,62.16%,13.4
65,JannaJanna,50.60%,13.4
66,Jarvan IVJarvan IV,54.21%,13.4
67,JaxJax,55.58%,13.4
68,JayceJayce,51.64%,13.4
69,JayceJayce,59.66%,13.4
70,JhinJhin,50.08%,13.4
71,JinxJinx,49.25%,13.4
72,K'SanteK'Sante,51.24%,13.4
73,Kai'SaKai'Sa,52.48%,13.4
74,KalistaKalista,49.75%,13.4
75,KalistaKalista,41.67%,13.4
76,KarmaKarma,48.55%,13.4
77,KarthusKarthus,58.18%,13.4
78,KarthusKarthus,47.25%,13.4
79,KassadinKassadin,46.56%,13.4
80,KatarinaKatarina,44.69%,13.4
81,KayleKayle,56.20%,13.4
82,KayleKayle,52.73%,13.4
83,KaynKayn,50.72%,13.4
84,KaynKayn,61.90%,13.4
85,KennenKennen,54.95%,13.4
86,Kha'ZixKha'Zix,50.25%,13.4
87,KindredKindred,54.97%,13.4
88,KledKled,49.59%,13.4
89,KledKled,56.76%,13.4
90,Kog'MawKog'Maw,61.43%,13.4
91,LeBlancLeBlanc,55.87%,13.4
92,Lee SinLee Sin,52.80%,13.4
93,Lee SinLee Sin,53.41%,13.4
94,LeonaLeona,46.95%,13.4
95,LilliaLillia,42.62%,13.4
96,LissandraLissandra,55.56%,13.4
97,LucianLucian,49.10%,13.4
98,LuluLulu,51.41%,13.4
99,LuxLux,48.65%,13.4
100,LuxLux,45.32%,13.4
101,MalphiteMalphite,48.24%,13.4
102,MalphiteMalphite,59.09%,13.4
103,MalzaharMalzahar,54.84%,13.4
104,MaokaiMaokai,56.67%,13.4
105,MaokaiMaokai,51.43%,13.4
106,MaokaiMaokai,56.00%,13.4
107,Master YiMaster Yi,50.61%,13.4
108,Master YiMaster Yi,57.78%,13.4
109,Miss FortuneMiss Fortune,49.50%,13.4
110,Miss FortuneMiss Fortune,38.10%,13.4
111,MordekaiserMordekaiser,46.79%,13.4
112,MorganaMorgana,53.06%,13.4
113,NamiNami,53.76%,13.4
114,NasusNasus,54.55%,13.4
115,NasusNasus,50.59%,13.4
116,NautilusNautilus,53.67%,13.4
117,NeekoNeeko,56.25%,13.4
118,NidaleeNidalee,52.87%,13.4
119,NilahNilah,61.90%,13.4
120,NocturneNocturne,55.70%,13.4
121,NunuNunu,56.60%,13.4
122,NunuNunu,37.04%,13.4
123,OlafOlaf,55.12%,13.4
124,OlafOlaf,69.09%,13.4
125,OriannaOrianna,48.72%,13.4
126,OrnnOrnn,51.20%,13.4
127,PantheonPantheon,64.91%,13.4
128,PantheonPantheon,53.85%,13.4
129,PantheonPantheon,51.09%,13.4
130,PantheonPantheon,45.45%,13.4
131,PoppyPoppy,55.08%,13.4
132,PoppyPoppy,58.00%,13.4
133,PoppyPoppy,50.00%,13.4
134,PykePyke,56.36%,13.4
135,QiyanaQiyana,45.92%,13.4
136,QuinnQuinn,61.90%,13.4
137,QuinnQuinn,56.34%,13.4
138,RakanRakan,57.39%,13.4
139,RammusRammus,55.15%,13.4
140,Rek'SaiRek'Sai,44.62%,13.4
141,RellRell,48.31%,13.4
142,Renata GlascRenata Glasc,50.00%,13.4
143,RenektonRenekton,48.41%,13.4
144,RenektonRenekton,57.45%,13.4
145,RengarRengar,54.89%,13.4
146,RengarRengar,48.95%,13.4
147,RivenRiven,58.99%,13.4
148,RumbleRumble,55.24%,13.4
149,RumbleRumble,51.18%,13.4
150,RyzeRyze,58.82%,13.4
151,RyzeRyze,35.29%,13.4
152,SamiraSamira,49.03%,13.4
153,SejuaniSejuani,54.73%,13.4
154,SejuaniSejuani,58.62%,13.4
155,SennaSenna,51.88%,13.4
156,SennaSenna,58.49%,13.4
157,SeraphineSeraphine,55.56%,13.4
158,SeraphineSeraphine,55.91%,13.4
159,SeraphineSeraphine,48.19%,13.4
160,SettSett,46.70%,13.4
161,SettSett,52.00%,13.4
162,ShacoShaco,62.86%,13.4
163,ShacoShaco,46.03%,13.4
164,ShenShen,59.20%,13.4
165,ShenShen,58.33%,13.4
166,ShyvanaShyvana,45.00%,13.4
167,SingedSinged,50.91%,13.4
168,SingedSinged,46.67%,13.4
169,SionSion,51.20%,13.4
170,SionSion,52.63%,13.4
171,SivirSivir,53.04%,13.4
172,SkarnerSkarner,53.15%,13.4
173,SonaSona,55.17%,13.4
174,SorakaSoraka,50.30%,13.4
175,SwainSwain,55.93%,13.4
176,SwainSwain,40.00%,13.4
177,SylasSylas,52.80%,13.4
178,SylasSylas,48.67%,13.4
179,SyndraSyndra,50.15%,13.4
180,Tahm KenchTahm Kench,47.37%,13.4
181,TaliyahTaliyah,53.72%,13.4
182,TaliyahTaliyah,53.57%,13.4
183,TalonTalon,53.23%,13.4
184,TalonTalon,48.35%,13.4
185,TaricTaric,61.86%,13.4
186,TeemoTeemo,56.34%,13.4
187,ThreshThresh,53.36%,13.4
188,TristanaTristana,57.79%,13.4
189,TristanaTristana,53.65%,13.4
190,TrundleTrundle,43.75%,13.4
191,TryndamereTryndamere,56.34%,13.4
192,TryndamereTryndamere,51.22%,13.4
