,Name,Win %,patch
0,AatroxAatrox,50.87%,12.16
1,AhriAhri,52.32%,12.16
2,AkaliAkali,45.80%,12.16
3,AkaliAkali,50.00%,12.16
4,AkshanAkshan,38.18%,12.16
5,AkshanAkshan,26.67%,12.16
6,AlistarAlistar,50.00%,12.16
7,AmumuAmumu,52.59%,12.16
8,AniviaAnivia,52.94%,12.16
9,AnnieAnnie,51.16%,12.16
10,ApheliosAphelios,54.07%,12.16
11,AsheAshe,63.10%,12.16
12,AsheAshe,53.57%,12.16
13,Aurelion SolAurelion Sol,0.00%,12.16
14,AzirAzir,56.13%,12.16
15,BardBard,54.78%,12.16
16,Bel'VethBel'Veth,45.11%,12.16
17,BlitzcrankBlitzcrank,44.22%,12.16
18,BrandBrand,30.00%,12.16
19,BraumBraum,44.00%,12.16
20,CaitlynCaitlyn,50.00%,12.16
21,CamilleCamille,53.96%,12.16
22,CassiopeiaCassiopeia,38.24%,12.16
23,Cho'GathCho'Gath,54.17%,12.16
24,CorkiCorki,41.03%,12.16
25,DariusDarius,54.38%,12.16
26,DianaDiana,42.71%,12.16
27,Dr. MundoDr. Mundo,53.85%,12.16
28,DravenDraven,55.24%,12.16
29,EkkoEkko,52.69%,12.16
30,EkkoEkko,47.06%,12.16
31,EliseElise,50.88%,12.16
32,EvelynnEvelynn,45.45%,12.16
33,EzrealEzreal,50.35%,12.16
34,FiddlesticksFiddlesticks,47.67%,12.16
35,FioraFiora,52.57%,12.16
36,FizzFizz,0.00%,12.16
37,GalioGalio,65.63%,12.16
38,GangplankGangplank,57.01%,12.16
39,GarenGaren,47.92%,12.16
40,GnarGnar,52.53%,12.16
41,GragasGragas,56.63%,12.16
42,GravesGraves,50.67%,12.16
43,GwenGwen,47.06%,12.16
44,HecarimHecarim,45.92%,12.16
45,HeimerdingerHeimerdinger,60.00%,12.16
46,HeimerdingerHeimerdinger,45.45%,12.16
47,IllaoiIllaoi,50.00%,12.16
48,IreliaIrelia,53.15%,12.16
49,IreliaIrelia,53.15%,12.16
50,IvernIvern,0.00%,12.16
51,JannaJanna,51.97%,12.16
52,Jarvan IVJarvan IV,54.29%,12.16
53,JaxJax,50.77%,12.16
54,JayceJayce,57.14%,12.16
55,JhinJhin,55.00%,12.16
56,JinxJinx,57.55%,12.16
57,Kai'SaKai'Sa,43.68%,12.16
58,KalistaKalista,51.50%,12.16
59,KarmaKarma,57.21%,12.16
60,KarthusKarthus,59.84%,12.16
61,KarthusKarthus,63.41%,12.16
62,KarthusKarthus,56.52%,12.16
63,KassadinKassadin,47.06%,12.16
64,KatarinaKatarina,53.69%,12.16
65,KayleKayle,51.85%,12.16
66,KaynKayn,49.00%,12.16
67,KennenKennen,52.63%,12.16
68,Kha'ZixKha'Zix,50.00%,12.16
69,KindredKindred,54.14%,12.16
70,KledKled,60.40%,12.16
71,Kog'MawKog'Maw,61.67%,12.16
72,LeBlancLeBlanc,41.18%,12.16
