,Name,Win %,patch
0,AatroxAatrox,53.75%,12.15
1,AhriAhri,48.55%,12.15
2,AkaliAkali,51.61%,12.15
3,AkaliAkali,44.29%,12.15
4,AkshanAkshan,56.86%,12.15
5,AkshanAkshan,57.69%,12.15
6,AlistarAlistar,52.21%,12.15
7,AmumuAmumu,51.19%,12.15
8,AmumuAmumu,46.43%,12.15
9,AniviaAnivia,60.00%,12.15
10,AnnieAnnie,53.57%,12.15
11,ApheliosAphelios,49.03%,12.15
12,AsheAshe,50.92%,12.15
13,AsheAshe,46.39%,12.15
14,Aurelion SolAurelion Sol,0.00%,12.15
15,AzirAzir,53.52%,12.15
16,BardBard,47.83%,12.15
17,Bel'VethBel'Veth,49.39%,12.15
18,BlitzcrankBlitzcrank,51.15%,12.15
19,BrandBrand,46.15%,12.15
20,BraumBraum,53.62%,12.15
21,CaitlynCaitlyn,48.44%,12.15
22,CamilleCamille,48.99%,12.15
23,CassiopeiaCassiopeia,47.73%,12.15
24,Cho'GathCho'Gath,44.44%,12.15
25,Cho'GathCho'Gath,35.29%,12.15
26,CorkiCorki,59.09%,12.15
27,DariusDarius,54.36%,12.15
28,DianaDiana,50.00%,12.15
29,Dr. MundoDr. Mundo,54.55%,12.15
30,DravenDraven,54.85%,12.15
31,EkkoEkko,54.05%,12.15
32,EkkoEkko,44.04%,12.15
33,EliseElise,54.22%,12.15
34,EvelynnEvelynn,56.36%,12.15
35,EzrealEzreal,55.13%,12.15
36,FiddlesticksFiddlesticks,45.56%,12.15
37,FioraFiora,50.41%,12.15
38,FizzFizz,45.83%,12.15
39,GalioGalio,58.33%,12.15
40,GangplankGangplank,52.61%,12.15
41,GangplankGangplank,45.16%,12.15
42,GarenGaren,47.66%,12.15
43,GnarGnar,49.54%,12.15
44,GragasGragas,51.53%,12.15
45,GragasGragas,36.00%,12.15
46,GravesGraves,51.31%,12.15
47,GwenGwen,47.83%,12.15
48,HecarimHecarim,57.95%,12.15
49,HeimerdingerHeimerdinger,64.86%,12.15
50,HeimerdingerHeimerdinger,60.00%,12.15
51,HeimerdingerHeimerdinger,50.00%,12.15
52,HeimerdingerHeimerdinger,45.45%,12.15
53,IllaoiIllaoi,47.95%,12.15
54,IreliaIrelia,42.37%,12.15
55,IreliaIrelia,43.90%,12.15
56,IvernIvern,0.00%,12.15
57,JannaJanna,54.50%,12.15
58,Jarvan IVJarvan IV,58.16%,12.15
59,JaxJax,53.51%,12.15
60,JayceJayce,50.67%,12.15
61,JhinJhin,51.00%,12.15
62,JinxJinx,54.15%,12.15
63,Kai'SaKai'Sa,53.64%,12.15
64,KalistaKalista,51.60%,12.15
65,KarmaKarma,54.98%,12.15
66,KarmaKarma,52.00%,12.15
67,KarthusKarthus,48.89%,12.15
68,KarthusKarthus,48.00%,12.15
69,KarthusKarthus,42.76%,12.15
70,KassadinKassadin,53.04%,12.15
71,KatarinaKatarina,54.73%,12.15
72,KayleKayle,45.74%,12.15
73,KaynKayn,52.67%,12.15
74,KennenKennen,56.32%,12.15
75,Kha'ZixKha'Zix,46.63%,12.15
76,KindredKindred,63.57%,12.15
77,KledKled,51.09%,12.15
78,KledKled,52.00%,12.15
79,Kog'MawKog'Maw,54.46%,12.15
80,LeBlancLeBlanc,47.62%,12.15
81,Lee SinLee Sin,47.87%,12.15
82,LeonaLeona,54.17%,12.15
83,LilliaLillia,50.44%,12.15
84,LilliaLillia,50.00%,12.15
85,LissandraLissandra,52.43%,12.15
86,LucianLucian,55.85%,12.15
87,LuluLulu,50.57%,12.15
88,LuxLux,58.21%,12.15
89,LuxLux,42.71%,12.15
90,MalphiteMalphite,61.67%,12.15
91,MalzaharMalzahar,52.63%,12.15
92,MaokaiMaokai,0.00%,12.15
93,Master YiMaster Yi,56.88%,12.15
94,Miss FortuneMiss Fortune,49.77%,12.15
95,MordekaiserMordekaiser,46.36%,12.15
96,MorganaMorgana,49.44%,12.15
97,MorganaMorgana,55.00%,12.15
98,NamiNami,51.94%,12.15
99,NasusNasus,53.85%,12.15
100,NasusNasus,42.86%,12.15
101,NautilusNautilus,48.41%,12.15
102,NeekoNeeko,0.00%,12.15
103,NidaleeNidalee,49.74%,12.15
104,NilahNilah,48.48%,12.15
105,NocturneNocturne,54.17%,12.15
106,NunuNunu,58.73%,12.15
107,OlafOlaf,61.54%,12.15
108,OlafOlaf,55.88%,12.15
109,OriannaOrianna,47.76%,12.15
110,OrnnOrnn,43.66%,12.15
111,PantheonPantheon,54.11%,12.15
112,PantheonPantheon,63.64%,12.15
113,PantheonPantheon,40.00%,12.15
114,PantheonPantheon,38.71%,12.15
115,PoppyPoppy,50.26%,12.15
116,PoppyPoppy,50.00%,12.15
117,PykePyke,49.23%,12.15
118,QiyanaQiyana,45.07%,12.15
119,QiyanaQiyana,53.06%,12.15
120,QuinnQuinn,55.00%,12.15
121,RakanRakan,52.08%,12.15
122,RammusRammus,49.09%,12.15
123,Rek'SaiRek'Sai,55.78%,12.15
124,RellRell,45.45%,12.15
125,Renata GlascRenata Glasc,51.66%,12.15
126,RenektonRenekton,53.11%,12.15
127,RenektonRenekton,52.73%,12.15
128,RengarRengar,46.46%,12.15
129,RivenRiven,52.38%,12.15
130,RumbleRumble,53.33%,12.15
131,RumbleRumble,48.39%,12.15
132,RyzeRyze,46.15%,12.15
133,SamiraSamira,55.52%,12.15
134,SejuaniSejuani,53.79%,12.15
135,SejuaniSejuani,53.73%,12.15
136,SennaSenna,55.38%,12.15
137,SeraphineSeraphine,55.93%,12.15
138,SeraphineSeraphine,53.33%,12.15
139,SeraphineSeraphine,37.04%,12.15
140,SettSett,46.05%,12.15
141,SettSett,35.00%,12.15
142,ShacoShaco,46.76%,12.15
143,ShacoShaco,38.46%,12.15
144,ShenShen,51.69%,12.15
145,ShyvanaShyvana,52.87%,12.15
146,ShyvanaShyvana,57.89%,12.15
147,SingedSinged,52.29%,12.15
148,SionSion,37.66%,12.15
149,SivirSivir,51.25%,12.15
150,SkarnerSkarner,49.44%,12.15
151,SonaSona,46.62%,12.15
152,SorakaSoraka,47.75%,12.15
153,SwainSwain,71.43%,12.15
154,SwainSwain,54.22%,12.15
155,SwainSwain,55.88%,12.15
156,SylasSylas,50.42%,12.15
157,SyndraSyndra,46.48%,12.15
158,Tahm KenchTahm Kench,52.94%,12.15
159,Tahm KenchTahm Kench,46.88%,12.15
160,TaliyahTaliyah,53.99%,12.15
161,TaliyahTaliyah,54.55%,12.15
162,TalonTalon,49.50%,12.15
163,TalonTalon,44.32%,12.15
164,TaricTaric,60.19%,12.15
165,TeemoTeemo,46.74%,12.15
166,ThreshThresh,51.33%,12.15
167,TristanaTristana,58.33%,12.15
168,TristanaTristana,50.37%,12.15
169,TrundleTrundle,50.37%,12.15
170,TrundleTrundle,55.00%,12.15
171,TryndamereTryndamere,63.72%,12.15
172,Twisted FateTwisted Fate,56.10%,12.15
173,TwitchTwitch,55.07%,12.15
174,UdyrUdyr,27.78%,12.15
175,UrgotUrgot,59.26%,12.15
176,VarusVarus,52.07%,12.15
177,VarusVarus,48.15%,12.15
178,VayneVayne,50.00%,12.15
179,VayneVayne,44.10%,12.15
180,VeigarVeigar,53.57%,12.15
181,VeigarVeigar,44.44%,12.15
182,Vel'KozVel'Koz,0.00%,12.15
183,VexVex,57.58%,12.15
184,ViVi,51.19%,12.15
185,ViegoViego,48.87%,12.15
186,ViktorViktor,53.81%,12.15
187,VladimirVladimir,51.85%,12.15
188,VladimirVladimir,55.26%,12.15
189,VolibearVolibear,62.50%,12.15
190,VolibearVolibear,30.00%,12.15
191,WarwickWarwick,40.00%,12.15
192,WarwickWarwick,43.90%,12.15
193,WukongWukong,49.57%,12.15
194,WukongWukong,55.56%,12.15
195,XayahXayah,51.67%,12.15
196,XerathXerath,56.78%,12.15
197,XerathXerath,40.48%,12.15
198,Xin ZhaoXin Zhao,52.00%,12.15
199,YasuoYasuo,50.00%,12.15
200,YasuoYasuo,52.56%,12.15
201,YasuoYasuo,46.00%,12.15
202,YoneYone,51.90%,12.15
203,YoneYone,51.85%,12.15
204,YorickYorick,50.00%,12.15
205,YuumiYuumi,48.04%,12.15
206,ZacZac,49.54%,12.15
207,ZacZac,51.72%,12.15
208,ZedZed,51.60%,12.15
209,ZedZed,52.68%,12.15
210,ZeriZeri,47.64%,12.15
211,ZiggsZiggs,51.06%,12.15
212,ZiggsZiggs,51.43%,12.15
213,ZileanZilean,57.29%,12.15
214,ZoeZoe,44.44%,12.15
215,ZyraZyra,45.45%,12.15
