,Name,Win %,patch
0,AatroxAatrox,56.35%,13.6
1,AhriAhri,53.24%,13.6
2,AkaliAkali,46.37%,13.6
3,AkaliAkali,42.86%,13.6
4,AkshanAkshan,57.14%,13.6
5,AkshanAkshan,45.83%,13.6
6,AlistarAlistar,52.17%,13.6
7,AmumuAmumu,68.42%,13.6
8,AmumuAmumu,53.06%,13.6
9,AniviaAnivia,48.31%,13.6
10,AnnieAnnie,54.90%,13.6
11,AnnieAnnie,51.80%,13.6
12,ApheliosAphelios,54.27%,13.6
13,AsheAshe,56.79%,13.6
14,AsheAshe,46.43%,13.6
15,Aurelion SolAurelion Sol,48.26%,13.6
16,AzirAzir,34.21%,13.6
17,BardBard,51.38%,13.6
18,Bel'VethBel'Veth,56.52%,13.6
19,BlitzcrankBlitzcrank,55.09%,13.6
20,BrandBrand,55.42%,13.6
21,BraumBraum,50.00%,13.6
22,CaitlynCaitlyn,49.85%,13.6
23,CamilleCamille,50.46%,13.6
24,CassiopeiaCassiopeia,59.51%,13.6
25,CassiopeiaCassiopeia,70.83%,13.6
26,Cho'GathCho'Gath,56.74%,13.6
27,Cho'GathCho'Gath,56.82%,13.6
28,Cho'GathCho'Gath,46.67%,13.6
29,CorkiCorki,50.00%,13.6
30,DariusDarius,50.66%,13.6
31,DianaDiana,53.22%,13.6
32,DianaDiana,45.10%,13.6
33,Dr. MundoDr. Mundo,56.25%,13.6
34,Dr. MundoDr. Mundo,43.24%,13.6
35,DravenDraven,47.54%,13.6
36,EkkoEkko,53.79%,13.6
37,EkkoEkko,45.00%,13.6
38,EliseElise,70.00%,13.6
39,EliseElise,54.25%,13.6
40,EvelynnEvelynn,49.60%,13.6
41,EzrealEzreal,51.84%,13.6
42,FiddlesticksFiddlesticks,60.00%,13.6
43,FioraFiora,51.48%,13.6
44,FizzFizz,50.83%,13.6
45,GalioGalio,69.57%,13.6
46,GalioGalio,52.14%,13.6
47,GangplankGangplank,47.85%,13.6
48,GangplankGangplank,33.33%,13.6
49,GarenGaren,55.22%,13.6
50,GnarGnar,47.18%,13.6
51,GragasGragas,52.31%,13.6
52,GragasGragas,55.81%,13.6
53,GragasGragas,50.47%,13.6
54,GravesGraves,50.53%,13.6
55,GwenGwen,55.17%,13.6
56,HecarimHecarim,50.68%,13.6
57,HeimerdingerHeimerdinger,55.56%,13.6
58,HeimerdingerHeimerdinger,56.90%,13.6
59,HeimerdingerHeimerdinger,46.75%,13.6
60,IllaoiIllaoi,48.28%,13.6
61,IreliaIrelia,49.74%,13.6
62,IreliaIrelia,51.98%,13.6
63,IvernIvern,54.84%,13.6
64,JannaJanna,48.65%,13.6
65,Jarvan IVJarvan IV,58.96%,13.6
66,JaxJax,51.76%,13.6
67,JayceJayce,52.15%,13.6
68,JayceJayce,54.01%,13.6
69,JhinJhin,48.08%,13.6
70,JinxJinx,49.89%,13.6
71,K'SanteK'Sante,44.65%,13.6
72,K'SanteK'Sante,42.31%,13.6
73,Kai'SaKai'Sa,51.64%,13.6
74,KalistaKalista,58.49%,13.6
75,KarmaKarma,53.36%,13.6
76,KarmaKarma,42.42%,13.6
77,KarthusKarthus,55.91%,13.6
78,KarthusKarthus,51.20%,13.6
79,KarthusKarthus,42.86%,13.6
80,KassadinKassadin,57.41%,13.6
81,KatarinaKatarina,46.98%,13.6
82,KayleKayle,56.76%,13.6
83,KayleKayle,50.00%,13.6
84,KaynKayn,47.72%,13.6
85,KennenKennen,71.88%,13.6
86,KennenKennen,52.56%,13.6
87,Kha'ZixKha'Zix,56.06%,13.6
88,KindredKindred,58.82%,13.6
89,KledKled,50.60%,13.6
90,Kog'MawKog'Maw,48.44%,13.6
91,LeBlancLeBlanc,50.75%,13.6
92,Lee SinLee Sin,49.19%,13.6
93,LeonaLeona,54.79%,13.6
94,LilliaLillia,56.10%,13.6
95,LissandraLissandra,55.56%,13.6
96,LucianLucian,59.21%,13.6
97,LuluLulu,52.39%,13.6
98,LuxLux,45.45%,13.6
99,LuxLux,48.76%,13.6
100,MalphiteMalphite,50.66%,13.6
101,MalzaharMalzahar,53.70%,13.6
102,MaokaiMaokai,75.00%,13.6
103,MaokaiMaokai,48.00%,13.6
104,Master YiMaster Yi,51.16%,13.6
105,MilioMilio,55.24%,13.6
106,Miss FortuneMiss Fortune,44.54%,13.6
107,MordekaiserMordekaiser,46.32%,13.6
108,MorganaMorgana,50.00%,13.6
109,NamiNami,52.49%,13.6
110,NasusNasus,47.62%,13.6
111,NasusNasus,34.78%,13.6
112,NautilusNautilus,51.29%,13.6
113,NeekoNeeko,57.14%,13.6
114,NidaleeNidalee,52.25%,13.6
115,NilahNilah,35.29%,13.6
116,NocturneNocturne,55.88%,13.6
117,NunuNunu,46.00%,13.6
118,OlafOlaf,61.66%,13.6
119,OlafOlaf,51.28%,13.6
120,OriannaOrianna,58.65%,13.6
121,OrnnOrnn,47.87%,13.6
122,PantheonPantheon,56.90%,13.6
123,PantheonPantheon,55.71%,13.6
124,PantheonPantheon,58.44%,13.6
125,PantheonPantheon,46.15%,13.6
126,PoppyPoppy,60.66%,13.6
127,PoppyPoppy,52.38%,13.6
128,PykePyke,44.13%,13.6
129,QiyanaQiyana,70.59%,13.6
130,QiyanaQiyana,44.44%,13.6
