,Name,Win %,patch
0,AatroxAatrox,54.76%,12.14
1,AhriAhri,51.74%,12.14
2,AkaliAkali,47.40%,12.14
3,AkaliAkali,38.10%,12.14
4,AkshanAkshan,59.38%,12.14
5,AkshanAkshan,46.67%,12.14
6,AlistarAlistar,46.60%,12.14
7,AmumuAmumu,56.25%,12.14
8,AmumuAmumu,33.33%,12.14
9,AniviaAnivia,50.00%,12.14
10,AnnieAnnie,55.56%,12.14
11,ApheliosAphelios,45.77%,12.14
12,AsheAshe,56.46%,12.14
13,AsheAshe,45.35%,12.14
14,Aurelion SolAurelion Sol,0.00%,12.14
15,AzirAzir,49.42%,12.14
16,BardBard,53.67%,12.14
17,Bel'VethBel'Veth,58.16%,12.14
18,BlitzcrankBlitzcrank,48.39%,12.14
19,BrandBrand,41.38%,12.14
20,BraumBraum,57.58%,12.14
21,CaitlynCaitlyn,52.10%,12.14
22,CamilleCamille,46.51%,12.14
23,CassiopeiaCassiopeia,65.63%,12.14
24,Cho'GathCho'Gath,52.00%,12.14
25,Cho'GathCho'Gath,50.00%,12.14
26,CorkiCorki,57.14%,12.14
27,DariusDarius,57.22%,12.14
28,DianaDiana,51.46%,12.14
29,Dr. MundoDr. Mundo,50.00%,12.14
30,DravenDraven,53.44%,12.14
31,EkkoEkko,58.06%,12.14
32,EkkoEkko,57.83%,12.14
33,EliseElise,54.17%,12.14
34,EvelynnEvelynn,46.67%,12.14
35,EzrealEzreal,51.06%,12.14
36,FiddlesticksFiddlesticks,58.33%,12.14
37,FioraFiora,51.28%,12.14
38,FizzFizz,46.67%,12.14
39,GalioGalio,59.32%,12.14
40,GangplankGangplank,59.16%,12.14
41,GarenGaren,52.70%,12.14
42,GnarGnar,46.79%,12.14
43,GragasGragas,48.08%,12.14
44,GragasGragas,58.33%,12.14
45,GravesGraves,51.31%,12.14
46,GwenGwen,55.80%,12.14
47,GwenGwen,66.67%,12.14
48,HecarimHecarim,47.56%,12.14
49,HeimerdingerHeimerdinger,48.00%,12.14
50,IllaoiIllaoi,58.90%,12.14
51,IreliaIrelia,60.20%,12.14
52,IreliaIrelia,49.15%,12.14
53,IvernIvern,0.00%,12.14
54,JannaJanna,55.74%,12.14
55,Jarvan IVJarvan IV,61.29%,12.14
56,Jarvan IVJarvan IV,42.86%,12.14
57,JaxJax,51.20%,12.14
58,JayceJayce,57.89%,12.14
59,JhinJhin,51.35%,12.14
60,JinxJinx,53.96%,12.14
61,Kai'SaKai'Sa,51.40%,12.14
62,KalistaKalista,48.25%,12.14
63,KarmaKarma,49.73%,12.14
64,KarthusKarthus,48.10%,12.14
65,KarthusKarthus,48.39%,12.14
66,KassadinKassadin,56.25%,12.14
67,KatarinaKatarina,46.23%,12.14
68,KayleKayle,57.63%,12.14
69,KaynKayn,57.48%,12.14
70,KennenKennen,47.17%,12.14
71,Kha'ZixKha'Zix,58.91%,12.14
72,KindredKindred,54.05%,12.14
73,KledKled,52.17%,12.14
74,Kog'MawKog'Maw,66.67%,12.14
75,LeBlancLeBlanc,60.67%,12.14
76,Lee SinLee Sin,52.70%,12.14
77,LeonaLeona,50.00%,12.14
78,LilliaLillia,53.85%,12.14
79,LilliaLillia,45.16%,12.14
80,LissandraLissandra,42.59%,12.14
81,LucianLucian,55.00%,12.14
82,LucianLucian,47.50%,12.14
83,LuluLulu,49.61%,12.14
84,LuxLux,51.06%,12.14
85,LuxLux,47.92%,12.14
86,MalphiteMalphite,53.85%,12.14
87,MalzaharMalzahar,38.71%,12.14
88,MaokaiMaokai,0.00%,12.14
89,Master YiMaster Yi,54.05%,12.14
90,Miss FortuneMiss Fortune,49.61%,12.14
91,Miss FortuneMiss Fortune,48.15%,12.14
92,MordekaiserMordekaiser,43.06%,12.14
93,MorganaMorgana,48.28%,12.14
94,NamiNami,54.14%,12.14
95,NasusNasus,54.72%,12.14
96,NasusNasus,48.57%,12.14
97,NautilusNautilus,51.77%,12.14
98,NeekoNeeko,63.64%,12.14
99,NidaleeNidalee,58.59%,12.14
100,NilahNilah,51.61%,12.14
101,NocturneNocturne,46.51%,12.14
102,NunuNunu,52.73%,12.14
103,OlafOlaf,57.89%,12.14
104,OlafOlaf,28.57%,12.14
105,OriannaOrianna,55.36%,12.14
106,OrnnOrnn,58.49%,12.14
107,PantheonPantheon,58.58%,12.14
108,PantheonPantheon,54.76%,12.14
109,PoppyPoppy,52.69%,12.14
110,PoppyPoppy,46.88%,12.14
111,PykePyke,52.36%,12.14
112,QiyanaQiyana,51.61%,12.14
113,QiyanaQiyana,54.55%,12.14
114,QuinnQuinn,55.56%,12.14
115,RakanRakan,52.10%,12.14
116,RammusRammus,60.71%,12.14
117,Rek'SaiRek'Sai,58.16%,12.14
118,RellRell,38.46%,12.14
119,Renata GlascRenata Glasc,57.14%,12.14
120,RenektonRenekton,55.41%,12.14
121,RenektonRenekton,62.50%,12.14
122,RengarRengar,53.97%,12.14
123,RivenRiven,50.00%,12.14
124,RumbleRumble,58.33%,12.14
125,RumbleRumble,45.45%,12.14
126,RyzeRyze,46.05%,12.14
127,SamiraSamira,51.48%,12.14
128,SejuaniSejuani,55.14%,12.14
129,SejuaniSejuani,55.56%,12.14
130,SennaSenna,54.49%,12.14
131,SeraphineSeraphine,59.79%,12.14
132,SeraphineSeraphine,58.33%,12.14
133,SeraphineSeraphine,47.06%,12.14
134,SettSett,36.11%,12.14
135,ShacoShaco,51.11%,12.14
136,ShenShen,45.79%,12.14
137,ShyvanaShyvana,52.34%,12.14
138,ShyvanaShyvana,56.79%,12.14
139,SingedSinged,60.87%,12.14
140,SionSion,43.18%,12.14
141,SivirSivir,55.97%,12.14
142,SkarnerSkarner,49.06%,12.14
143,SonaSona,52.13%,12.14
144,SorakaSoraka,52.63%,12.14
145,SwainSwain,55.88%,12.14
146,SwainSwain,54.10%,12.14
147,SylasSylas,57.28%,12.14
148,SylasSylas,50.00%,12.14
149,SyndraSyndra,45.45%,12.14
150,Tahm KenchTahm Kench,63.64%,12.14
151,Tahm KenchTahm Kench,40.54%,12.14
152,Tahm KenchTahm Kench,36.36%,12.14
153,TaliyahTaliyah,59.82%,12.14
154,TaliyahTaliyah,57.69%,12.14
155,TalonTalon,42.11%,12.14
156,TalonTalon,39.24%,12.14
157,TaricTaric,61.00%,12.14
158,TeemoTeemo,51.43%,12.14
159,ThreshThresh,41.79%,12.14
160,TristanaTristana,62.16%,12.14
161,TristanaTristana,45.45%,12.14
162,TrundleTrundle,48.45%,12.14
163,TrundleTrundle,33.33%,12.14
164,TryndamereTryndamere,50.72%,12.14
165,Twisted FateTwisted Fate,44.12%,12.14
166,TwitchTwitch,53.30%,12.14
167,UdyrUdyr,52.00%,12.14
168,UrgotUrgot,0.00%,12.14
169,VarusVarus,55.74%,12.14
