,Name,Win %,patch
0,AatroxAatrox,47.96%,12.3
1,AhriAhri,58.58%,12.3
2,AkaliAkali,48.08%,12.3
3,AkaliAkali,49.68%,12.3
4,AkshanAkshan,57.75%,12.3
5,AkshanAkshan,45.78%,12.3
6,AlistarAlistar,50.88%,12.3
7,AmumuAmumu,72.41%,12.3
8,AniviaAnivia,48.53%,12.3
9,AnnieAnnie,58.14%,12.3
10,ApheliosAphelios,49.25%,12.3
11,AsheAshe,52.99%,12.3
12,Aurelion SolAurelion Sol,58.95%,12.3
13,AzirAzir,58.70%,12.3
14,BardBard,51.03%,12.3
15,BlitzcrankBlitzcrank,58.08%,12.3
16,BrandBrand,54.69%,12.3
17,BrandBrand,42.86%,12.3
18,BraumBraum,48.72%,12.3
19,CaitlynCaitlyn,49.71%,12.3
20,CamilleCamille,52.02%,12.3
21,CassiopeiaCassiopeia,61.84%,12.3
22,CassiopeiaCassiopeia,60.00%,12.3
23,CassiopeiaCassiopeia,47.83%,12.3
24,Cho'GathCho'Gath,61.90%,12.3
25,Cho'GathCho'Gath,43.59%,12.3
26,CorkiCorki,41.78%,12.3
27,DariusDarius,59.87%,12.3
28,DianaDiana,54.27%,12.3
29,DianaDiana,61.54%,12.3
30,Dr. MundoDr. Mundo,46.84%,12.3
31,DravenDraven,53.17%,12.3
32,EkkoEkko,47.77%,12.3
33,EkkoEkko,48.67%,12.3
34,EliseElise,53.42%,12.3
35,EvelynnEvelynn,53.74%,12.3
36,EzrealEzreal,54.84%,12.3
37,FiddlesticksFiddlesticks,58.49%,12.3
38,FioraFiora,50.46%,12.3
39,FizzFizz,46.34%,12.3
40,GalioGalio,57.33%,12.3
41,GalioGalio,45.45%,12.3
42,GangplankGangplank,58.33%,12.3
43,GarenGaren,47.57%,12.3
44,GnarGnar,54.61%,12.3
45,GragasGragas,54.58%,12.3
46,GragasGragas,53.19%,12.3
47,GravesGraves,57.99%,12.3
48,GravesGraves,49.88%,12.3
49,GwenGwen,55.11%,12.3
50,GwenGwen,53.26%,12.3
51,HecarimHecarim,47.63%,12.3
52,HeimerdingerHeimerdinger,50.00%,12.3
53,IllaoiIllaoi,53.23%,12.3
54,IreliaIrelia,51.19%,12.3
55,IreliaIrelia,49.77%,12.3
56,IvernIvern,55.84%,12.3
57,IvernIvern,42.31%,12.3
58,JannaJanna,50.60%,12.3
59,JannaJanna,54.55%,12.3
60,Jarvan IVJarvan IV,48.16%,12.3
61,JaxJax,54.15%,12.3
62,JayceJayce,50.91%,12.3
63,JayceJayce,56.25%,12.3
64,JhinJhin,51.65%,12.3
65,JinxJinx,54.63%,12.3
66,Kai'SaKai'Sa,48.15%,12.3
67,KalistaKalista,49.23%,12.3
