,Name,Win %,patch
0,AatroxAatrox,49.07%,12.10
1,AhriAhri,50.00%,12.10
2,AkaliAkali,56.10%,12.10
3,AkaliAkali,47.30%,12.10
4,AkshanAkshan,53.85%,12.10
5,AkshanAkshan,41.67%,12.10
6,AlistarAlistar,52.94%,12.10
7,AmumuAmumu,0.00%,12.10
8,AniviaAnivia,54.84%,12.10
9,AnnieAnnie,0.00%,12.10
10,ApheliosAphelios,42.70%,12.10
11,AsheAshe,53.23%,12.10
12,AsheAshe,45.16%,12.10
13,Aurelion SolAurelion Sol,40.91%,12.10
14,AzirAzir,46.67%,12.10
15,BardBard,48.28%,12.10
16,BlitzcrankBlitzcrank,52.31%,12.10
17,BrandBrand,44.44%,12.10
18,BraumBraum,55.00%,12.10
19,CaitlynCaitlyn,42.31%,12.10
20,CamilleCamille,50.00%,12.10
21,CassiopeiaCassiopeia,44.44%,12.10
22,Cho'GathCho'Gath,0.00%,12.10
23,CorkiCorki,50.00%,12.10
24,DariusDarius,50.57%,12.10
25,DianaDiana,57.14%,12.10
26,DianaDiana,47.62%,12.10
27,Dr. MundoDr. Mundo,50.00%,12.10
28,DravenDraven,61.32%,12.10
29,EkkoEkko,53.19%,12.10
30,EliseElise,0.00%,12.10
31,EvelynnEvelynn,44.44%,12.10
32,EzrealEzreal,48.37%,12.10
33,FiddlesticksFiddlesticks,0.00%,12.10
34,FioraFiora,53.47%,12.10
35,FizzFizz,0.00%,12.10
36,GalioGalio,65.91%,12.10
37,GangplankGangplank,54.50%,12.10
38,GarenGaren,56.90%,12.10
39,GnarGnar,43.59%,12.10
40,GragasGragas,62.96%,12.10
41,GravesGraves,53.27%,12.10
42,GravesGraves,52.83%,12.10
43,GwenGwen,54.78%,12.10
44,GwenGwen,43.33%,12.10
45,HecarimHecarim,56.14%,12.10
46,HeimerdingerHeimerdinger,0.00%,12.10
47,IllaoiIllaoi,35.00%,12.10
48,IreliaIrelia,61.43%,12.10
49,IreliaIrelia,52.27%,12.10
50,IvernIvern,0.00%,12.10
51,JannaJanna,52.59%,12.10
52,Jarvan IVJarvan IV,52.00%,12.10
53,JaxJax,46.67%,12.10
54,JayceJayce,54.24%,12.10
55,JhinJhin,54.19%,12.10
56,JinxJinx,57.66%,12.10
57,Kai'SaKai'Sa,50.69%,12.10
58,KalistaKalista,51.32%,12.10
