,Name,Win %,patch
0,AatroxAatrox,52.66%,12.20
1,AhriAhri,47.58%,12.20
2,AkaliAkali,50.61%,12.20
3,AkaliAkali,45.45%,12.20
4,AkshanAkshan,58.96%,12.20
5,AkshanAkshan,48.98%,12.20
6,AlistarAlistar,43.81%,12.20
7,AmumuAmumu,55.98%,12.20
8,AmumuAmumu,44.12%,12.20
9,AniviaAnivia,50.98%,12.20
10,AnnieAnnie,45.71%,12.20
11,ApheliosAphelios,48.39%,12.20
12,AsheAshe,52.75%,12.20
13,AsheAshe,53.54%,12.20
14,Aurelion SolAurelion Sol,76.47%,12.20
15,AzirAzir,49.41%,12.20
16,BardBard,49.02%,12.20
17,Bel'VethBel'Veth,52.98%,12.20
18,BlitzcrankBlitzcrank,61.18%,12.20
19,BlitzcrankBlitzcrank,46.48%,12.20
20,BrandBrand,57.41%,12.20
21,BrandBrand,32.00%,12.20
22,BraumBraum,57.33%,12.20
23,CaitlynCaitlyn,49.75%,12.20
24,CamilleCamille,53.76%,12.20
25,CassiopeiaCassiopeia,54.55%,12.20
26,Cho'GathCho'Gath,66.67%,12.20
27,Cho'GathCho'Gath,50.00%,12.20
28,CorkiCorki,0.00%,12.20
29,DariusDarius,53.08%,12.20
30,DianaDiana,54.02%,12.20
31,Dr. MundoDr. Mundo,46.43%,12.20
32,DravenDraven,52.29%,12.20
33,EkkoEkko,49.43%,12.20
34,EkkoEkko,55.38%,12.20
35,EliseElise,54.13%,12.20
36,EvelynnEvelynn,51.75%,12.20
37,EzrealEzreal,51.65%,12.20
38,FiddlesticksFiddlesticks,56.98%,12.20
39,FioraFiora,51.69%,12.20
40,FizzFizz,40.26%,12.20
41,GalioGalio,54.78%,12.20
42,GangplankGangplank,50.75%,12.20
43,GarenGaren,42.03%,12.20
44,GnarGnar,37.50%,12.20
45,GragasGragas,60.23%,12.20
46,GragasGragas,55.17%,12.20
47,GragasGragas,42.86%,12.20
48,GravesGraves,54.74%,12.20
49,GwenGwen,49.15%,12.20
50,HecarimHecarim,49.74%,12.20
51,HeimerdingerHeimerdinger,70.69%,12.20
52,HeimerdingerHeimerdinger,46.69%,12.20
53,HeimerdingerHeimerdinger,55.77%,12.20
54,IllaoiIllaoi,44.44%,12.20
55,IreliaIrelia,49.12%,12.20
56,IreliaIrelia,54.29%,12.20
57,IvernIvern,0.00%,12.20
58,JannaJanna,48.09%,12.20
59,Jarvan IVJarvan IV,51.30%,12.20
60,JaxJax,48.49%,12.20
61,JayceJayce,61.54%,12.20
62,JayceJayce,43.31%,12.20
63,JhinJhin,53.40%,12.20
64,JinxJinx,55.03%,12.20
65,Kai'SaKai'Sa,54.40%,12.20
66,KalistaKalista,47.79%,12.20
67,KarmaKarma,45.49%,12.20
68,KarmaKarma,53.06%,12.20
69,KarmaKarma,50.00%,12.20
70,KarthusKarthus,47.13%,12.20
71,KarthusKarthus,55.56%,12.20
72,KassadinKassadin,47.25%,12.20
73,KatarinaKatarina,51.82%,12.20
