,Name,Win %,patch
0,AatroxAatrox,52.52%,12.17
1,AhriAhri,51.16%,12.17
2,AkaliAkali,47.49%,12.17
3,AkaliAkali,37.88%,12.17
4,AkshanAkshan,58.33%,12.17
5,AkshanAkshan,48.00%,12.17
6,AlistarAlistar,58.00%,12.17
7,AmumuAmumu,52.33%,12.17
8,AniviaAnivia,54.63%,12.17
9,AnnieAnnie,51.35%,12.17
10,ApheliosAphelios,47.45%,12.17
11,AsheAshe,55.81%,12.17
12,AsheAshe,52.26%,12.17
13,Aurelion SolAurelion Sol,50.00%,12.17
14,AzirAzir,45.56%,12.17
15,BardBard,54.95%,12.17
16,Bel'VethBel'Veth,60.74%,12.17
17,BlitzcrankBlitzcrank,51.43%,12.17
18,BrandBrand,45.83%,12.17
19,BraumBraum,63.49%,12.17
20,CaitlynCaitlyn,50.33%,12.17
21,CamilleCamille,55.50%,12.17
22,CassiopeiaCassiopeia,43.75%,12.17
23,Cho'GathCho'Gath,57.14%,12.17
24,Cho'GathCho'Gath,43.48%,12.17
25,CorkiCorki,42.11%,12.17
26,DariusDarius,50.00%,12.17
27,DianaDiana,51.40%,12.17
28,DianaDiana,51.56%,12.17
29,Dr. MundoDr. Mundo,46.88%,12.17
30,DravenDraven,56.68%,12.17
31,EkkoEkko,51.43%,12.17
32,EkkoEkko,40.43%,12.17
33,EliseElise,50.00%,12.17
34,EvelynnEvelynn,49.28%,12.17
35,EzrealEzreal,45.97%,12.17
36,FiddlesticksFiddlesticks,56.52%,12.17
37,FioraFiora,53.87%,12.17
38,FizzFizz,54.55%,12.17
39,GalioGalio,64.29%,12.17
40,GangplankGangplank,49.01%,12.17
41,GarenGaren,64.00%,12.17
42,GnarGnar,50.00%,12.17
43,GragasGragas,51.43%,12.17
44,GravesGraves,47.75%,12.17
45,GwenGwen,68.29%,12.17
46,HecarimHecarim,55.31%,12.17
47,HeimerdingerHeimerdinger,46.67%,12.17
48,HeimerdingerHeimerdinger,51.67%,12.17
49,IllaoiIllaoi,51.09%,12.17
50,IreliaIrelia,50.00%,12.17
51,IreliaIrelia,49.61%,12.17
52,IvernIvern,60.00%,12.17
53,JannaJanna,55.31%,12.17
54,Jarvan IVJarvan IV,50.69%,12.17
55,JaxJax,55.61%,12.17
56,JayceJayce,46.43%,12.17
57,JhinJhin,50.83%,12.17
58,JinxJinx,51.69%,12.17
59,Kai'SaKai'Sa,51.37%,12.17
60,KalistaKalista,51.53%,12.17
61,KarmaKarma,53.75%,12.17
62,KarmaKarma,45.95%,12.17
63,KarthusKarthus,44.93%,12.17
64,KarthusKarthus,55.36%,12.17
65,KarthusKarthus,45.71%,12.17
66,KassadinKassadin,47.01%,12.17
67,KatarinaKatarina,50.64%,12.17
68,KayleKayle,52.00%,12.17
69,KayleKayle,39.02%,12.17
70,KaynKayn,55.04%,12.17
71,KennenKennen,46.91%,12.17
72,Kha'ZixKha'Zix,51.40%,12.17
73,KindredKindred,51.36%,12.17
74,KledKled,54.78%,12.17
75,Kog'MawKog'Maw,55.26%,12.17
76,LeBlancLeBlanc,47.62%,12.17
77,Lee SinLee Sin,45.30%,12.17
78,LeonaLeona,55.70%,12.17
79,LilliaLillia,63.64%,12.17
80,LilliaLillia,45.54%,12.17
81,LissandraLissandra,52.27%,12.17
82,LucianLucian,53.89%,12.17
83,LucianLucian,33.33%,12.17
84,LuluLulu,50.36%,12.17
85,LuxLux,51.06%,12.17
86,LuxLux,50.54%,12.17
87,MalphiteMalphite,47.46%,12.17
88,MalzaharMalzahar,40.91%,12.17
89,MaokaiMaokai,57.89%,12.17
90,MaokaiMaokai,57.14%,12.17
91,MaokaiMaokai,49.21%,12.17
92,Master YiMaster Yi,49.59%,12.17
93,Miss FortuneMiss Fortune,55.67%,12.17
94,MordekaiserMordekaiser,80.95%,12.17
95,MordekaiserMordekaiser,50.52%,12.17
96,MorganaMorgana,52.63%,12.17
97,NamiNami,50.00%,12.17
98,NasusNasus,50.00%,12.17
99,NautilusNautilus,54.74%,12.17
100,NeekoNeeko,62.16%,12.17
101,NidaleeNidalee,52.12%,12.17
102,NilahNilah,51.18%,12.17
103,NocturneNocturne,62.50%,12.17
104,NocturneNocturne,50.00%,12.17
105,NunuNunu,51.28%,12.17
106,OlafOlaf,63.64%,12.17
107,OlafOlaf,52.53%,12.17
108,OriannaOrianna,48.84%,12.17
109,OrnnOrnn,55.10%,12.17
110,PantheonPantheon,60.98%,12.17
111,PantheonPantheon,46.15%,12.17
112,PantheonPantheon,48.00%,12.17
113,PantheonPantheon,43.48%,12.17
114,PoppyPoppy,43.24%,12.17
115,PoppyPoppy,47.06%,12.17
116,PykePyke,50.00%,12.17
117,QiyanaQiyana,50.00%,12.17
118,QiyanaQiyana,43.90%,12.17
119,QuinnQuinn,45.71%,12.17
120,RakanRakan,56.81%,12.17
121,RammusRammus,52.38%,12.17
122,Rek'SaiRek'Sai,54.93%,12.17
123,RellRell,55.56%,12.17
124,Renata GlascRenata Glasc,53.19%,12.17
125,RenektonRenekton,52.68%,12.17
126,RenektonRenekton,60.53%,12.17
127,RengarRengar,47.32%,12.17
128,RengarRengar,48.65%,12.17
129,RivenRiven,51.11%,12.17
130,RumbleRumble,69.77%,12.17
131,RumbleRumble,44.12%,12.17
132,RyzeRyze,43.10%,12.17
133,SamiraSamira,50.23%,12.17
134,SejuaniSejuani,62.50%,12.17
135,SejuaniSejuani,51.46%,12.17
136,SennaSenna,51.53%,12.17
137,SeraphineSeraphine,56.76%,12.17
138,SeraphineSeraphine,44.44%,12.17
139,SeraphineSeraphine,47.57%,12.17
140,SettSett,58.20%,12.17
141,SettSett,54.17%,12.17
142,SettSett,47.83%,12.17
143,ShacoShaco,43.75%,12.17
144,ShenShen,59.29%,12.17
145,ShyvanaShyvana,40.43%,12.17
146,ShyvanaShyvana,44.00%,12.17
147,SingedSinged,68.97%,12.17
148,SingedSinged,74.07%,12.17
149,SionSion,55.38%,12.17
150,SivirSivir,51.15%,12.17
151,SkarnerSkarner,51.61%,12.17
152,SonaSona,47.92%,12.17
153,SorakaSoraka,55.70%,12.17
154,SwainSwain,54.10%,12.17
155,SwainSwain,60.00%,12.17
156,SwainSwain,45.71%,12.17
157,SylasSylas,46.36%,12.17
158,SyndraSyndra,39.66%,12.17
159,Tahm KenchTahm Kench,47.62%,12.17
160,Tahm KenchTahm Kench,48.28%,12.17
161,TaliyahTaliyah,54.67%,12.17
162,TaliyahTaliyah,61.96%,12.17
163,TalonTalon,57.26%,12.17
164,TalonTalon,50.52%,12.17
165,TaricTaric,57.78%,12.17
166,TeemoTeemo,56.67%,12.17
167,ThreshThresh,42.57%,12.17
168,TristanaTristana,60.38%,12.17
169,TristanaTristana,47.85%,12.17
170,TrundleTrundle,45.78%,12.17
171,TrundleTrundle,40.63%,12.17
172,TryndamereTryndamere,79.17%,12.17
173,TryndamereTryndamere,52.27%,12.17
174,Twisted FateTwisted Fate,52.67%,12.17
175,TwitchTwitch,55.60%,12.17
176,UdyrUdyr,52.31%,12.17
177,UdyrUdyr,48.61%,12.17
178,UrgotUrgot,65.63%,12.17
179,VarusVarus,51.14%,12.17
180,VarusVarus,49.40%,12.17
181,VayneVayne,50.00%,12.17
182,VayneVayne,47.41%,12.17
183,VeigarVeigar,60.87%,12.17
184,VeigarVeigar,45.16%,12.17
185,Vel'KozVel'Koz,0.00%,12.17
186,VexVex,59.54%,12.17
187,ViVi,48.83%,12.17
188,ViegoViego,54.14%,12.17
189,ViktorViktor,55.67%,12.17
190,VladimirVladimir,60.00%,12.17
191,VladimirVladimir,32.14%,12.17
192,VolibearVolibear,57.14%,12.17
193,VolibearVolibear,56.00%,12.17
194,WarwickWarwick,52.63%,12.17
195,WarwickWarwick,50.00%,12.17
196,WukongWukong,55.38%,12.17
197,WukongWukong,48.91%,12.17
198,XayahXayah,57.14%,12.17
199,XerathXerath,49.09%,12.17
200,XerathXerath,47.73%,12.17
201,Xin ZhaoXin Zhao,60.47%,12.17
202,YasuoYasuo,47.17%,12.17
203,YasuoYasuo,50.00%,12.17
204,YasuoYasuo,53.16%,12.17
205,YoneYone,54.10%,12.17
206,YoneYone,55.08%,12.17
207,YorickYorick,50.00%,12.17
208,YuumiYuumi,50.79%,12.17
209,ZacZac,57.14%,12.17
210,ZacZac,50.00%,12.17
211,ZedZed,49.41%,12.17
212,ZedZed,45.13%,12.17
213,ZeriZeri,52.05%,12.17
214,ZiggsZiggs,57.14%,12.17
215,ZiggsZiggs,38.46%,12.17
216,ZileanZilean,49.50%,12.17
217,ZileanZilean,43.24%,12.17
218,ZoeZoe,46.15%,12.17
219,ZyraZyra,50.00%,12.17
