,Name,Win %,patch
0,AatroxAatrox,51.26%,12.7
1,AhriAhri,56.55%,12.7
2,AkaliAkali,52.02%,12.7
3,AkaliAkali,50.32%,12.7
4,AkshanAkshan,55.93%,12.7
5,AkshanAkshan,49.04%,12.7
6,AlistarAlistar,52.74%,12.7
7,AmumuAmumu,40.74%,12.7
8,AniviaAnivia,53.49%,12.7
9,AnnieAnnie,38.10%,12.7
10,ApheliosAphelios,49.70%,12.7
11,AsheAshe,55.56%,12.7
12,AsheAshe,51.16%,12.7
13,Aurelion SolAurelion Sol,60.00%,12.7
14,AzirAzir,53.45%,12.7
15,BardBard,60.84%,12.7
16,BlitzcrankBlitzcrank,49.58%,12.7
17,BrandBrand,53.57%,12.7
18,BraumBraum,52.38%,12.7
19,CaitlynCaitlyn,49.37%,12.7
20,CamilleCamille,56.01%,12.7
21,CassiopeiaCassiopeia,55.65%,12.7
22,CassiopeiaCassiopeia,47.62%,12.7
23,Cho'GathCho'Gath,66.67%,12.7
24,Cho'GathCho'Gath,47.06%,12.7
25,CorkiCorki,40.00%,12.7
26,DariusDarius,50.00%,12.7
27,DianaDiana,49.88%,12.7
28,Dr. MundoDr. Mundo,44.44%,12.7
29,DravenDraven,55.91%,12.7
30,EkkoEkko,51.60%,12.7
31,EkkoEkko,49.09%,12.7
32,EliseElise,48.75%,12.7
33,EliseElise,45.45%,12.7
34,EvelynnEvelynn,55.03%,12.7
35,EzrealEzreal,52.49%,12.7
36,FiddlesticksFiddlesticks,54.44%,12.7
37,FioraFiora,53.47%,12.7
38,FizzFizz,55.81%,12.7
39,GalioGalio,60.42%,12.7
40,GangplankGangplank,47.87%,12.7
41,GarenGaren,50.38%,12.7
42,GnarGnar,43.45%,12.7
43,GragasGragas,56.52%,12.7
44,GragasGragas,45.22%,12.7
45,GragasGragas,47.37%,12.7
46,GravesGraves,51.46%,12.7
47,GravesGraves,55.35%,12.7
48,GwenGwen,52.98%,12.7
49,GwenGwen,52.54%,12.7
50,HecarimHecarim,51.97%,12.7
51,HeimerdingerHeimerdinger,64.29%,12.7
52,IllaoiIllaoi,52.24%,12.7
53,IreliaIrelia,53.96%,12.7
54,IreliaIrelia,50.59%,12.7
55,IvernIvern,59.26%,12.7
56,JannaJanna,52.13%,12.7
57,Jarvan IVJarvan IV,52.38%,12.7
58,JaxJax,53.56%,12.7
59,JayceJayce,50.00%,12.7
60,JayceJayce,51.28%,12.7
61,JhinJhin,48.40%,12.7
62,JinxJinx,52.03%,12.7
63,Kai'SaKai'Sa,48.23%,12.7
64,Kai'SaKai'Sa,58.77%,12.7
65,KalistaKalista,47.01%,12.7
66,KarmaKarma,50.74%,12.7
67,KarmaKarma,60.94%,12.7
68,KarthusKarthus,47.23%,12.7
69,KarthusKarthus,52.38%,12.7
70,KassadinKassadin,51.28%,12.7
71,KatarinaKatarina,49.63%,12.7
72,KayleKayle,57.46%,12.7
73,KayleKayle,51.79%,12.7
74,KaynKayn,47.67%,12.7
75,KennenKennen,60.22%,12.7
