,Name,Win %,patch
0,AatroxAatrox,51.09%,12.21
1,AhriAhri,52.28%,12.21
2,AkaliAkali,49.28%,12.21
3,AkaliAkali,46.15%,12.21
4,AkshanAkshan,54.17%,12.21
5,AkshanAkshan,47.46%,12.21
6,AlistarAlistar,49.04%,12.21
7,AmumuAmumu,66.67%,12.21
8,AmumuAmumu,51.58%,12.21
9,AniviaAnivia,62.79%,12.21
10,AnnieAnnie,43.24%,12.21
11,ApheliosAphelios,46.68%,12.21
12,AsheAshe,51.94%,12.21
13,AsheAshe,46.88%,12.21
14,Aurelion SolAurelion Sol,0.00%,12.21
15,AzirAzir,47.26%,12.21
16,BardBard,47.22%,12.21
17,Bel'VethBel'Veth,57.43%,12.21
18,BlitzcrankBlitzcrank,46.88%,12.21
19,BlitzcrankBlitzcrank,38.24%,12.21
20,BrandBrand,57.41%,12.21
21,BraumBraum,56.57%,12.21
22,CaitlynCaitlyn,51.84%,12.21
23,CamilleCamille,55.31%,12.21
24,CassiopeiaCassiopeia,48.89%,12.21
25,Cho'GathCho'Gath,63.41%,12.21
26,Cho'GathCho'Gath,51.35%,12.21
27,CorkiCorki,49.30%,12.21
28,DariusDarius,47.54%,12.21
29,DianaDiana,52.12%,12.21
30,DianaDiana,42.86%,12.21
31,Dr. MundoDr. Mundo,44.74%,12.21
32,DravenDraven,53.92%,12.21
33,EkkoEkko,52.14%,12.21
34,EkkoEkko,52.08%,12.21
35,EliseElise,51.06%,12.21
36,EvelynnEvelynn,48.98%,12.21
37,EzrealEzreal,48.28%,12.21
38,FiddlesticksFiddlesticks,53.13%,12.21
39,FioraFiora,51.46%,12.21
40,FizzFizz,57.95%,12.21
41,GalioGalio,63.89%,12.21
42,GangplankGangplank,51.65%,12.21
43,GangplankGangplank,50.00%,12.21
44,GarenGaren,42.57%,12.21
45,GnarGnar,58.24%,12.21
46,GragasGragas,59.26%,12.21
47,GragasGragas,48.67%,12.21
48,GragasGragas,51.43%,12.21
49,GravesGraves,54.35%,12.21
50,GwenGwen,58.82%,12.21
51,HecarimHecarim,49.15%,12.21
52,HeimerdingerHeimerdinger,60.39%,12.21
53,HeimerdingerHeimerdinger,61.67%,12.21
54,IllaoiIllaoi,60.98%,12.21
55,IreliaIrelia,56.38%,12.21
56,IreliaIrelia,52.21%,12.21
57,IvernIvern,52.38%,12.21
58,JannaJanna,59.61%,12.21
59,Jarvan IVJarvan IV,53.44%,12.21
60,JaxJax,54.43%,12.21
61,JayceJayce,53.20%,12.21
62,JhinJhin,51.58%,12.21
63,JinxJinx,51.38%,12.21
64,K'SanteK'Sante,49.54%,12.21
65,Kai'SaKai'Sa,50.51%,12.21
66,KalistaKalista,53.08%,12.21
67,KarmaKarma,50.21%,12.21
68,KarmaKarma,59.26%,12.21
