,Name,Win %,patch
0,AatroxAatrox,47.67%,12.2
1,AhriAhri,54.55%,12.2
2,AkaliAkali,52.16%,12.2
3,AkaliAkali,50.81%,12.2
4,AkshanAkshan,53.38%,12.2
5,AkshanAkshan,55.14%,12.2
6,AlistarAlistar,51.90%,12.2
7,AmumuAmumu,0.00%,12.2
8,AniviaAnivia,53.85%,12.2
9,AnnieAnnie,52.17%,12.2
10,ApheliosAphelios,48.11%,12.2
11,AsheAshe,39.39%,12.2
12,Aurelion SolAurelion Sol,56.52%,12.2
13,AzirAzir,51.85%,12.2
14,BardBard,54.48%,12.2
15,BlitzcrankBlitzcrank,60.28%,12.2
16,BrandBrand,40.00%,12.2
17,BraumBraum,45.90%,12.2
18,CaitlynCaitlyn,52.19%,12.2
19,CamilleCamille,51.44%,12.2
20,CassiopeiaCassiopeia,51.28%,12.2
21,Cho'GathCho'Gath,53.85%,12.2
22,Cho'GathCho'Gath,50.00%,12.2
23,CorkiCorki,56.52%,12.2
24,DariusDarius,42.00%,12.2
25,DianaDiana,52.98%,12.2
26,Dr. MundoDr. Mundo,56.76%,12.2
27,DravenDraven,55.33%,12.2
28,EkkoEkko,50.57%,12.2
29,EkkoEkko,48.67%,12.2
30,EliseElise,50.00%,12.2
31,EvelynnEvelynn,55.93%,12.2
32,EzrealEzreal,47.78%,12.2
33,FiddlesticksFiddlesticks,52.50%,12.2
34,FioraFiora,55.44%,12.2
35,FizzFizz,33.33%,12.2
36,GalioGalio,48.33%,12.2
37,GalioGalio,41.67%,12.2
38,GangplankGangplank,47.06%,12.2
39,GarenGaren,41.67%,12.2
40,GnarGnar,57.89%,12.2
41,GragasGragas,47.27%,12.2
42,GragasGragas,54.55%,12.2
43,GragasGragas,34.78%,12.2
44,GravesGraves,50.20%,12.2
45,GravesGraves,55.12%,12.2
46,GwenGwen,54.09%,12.2
47,GwenGwen,54.26%,12.2
48,HecarimHecarim,52.17%,12.2
49,HeimerdingerHeimerdinger,0.00%,12.2
50,IllaoiIllaoi,56.14%,12.2
51,IreliaIrelia,48.67%,12.2
52,IreliaIrelia,44.30%,12.2
53,IvernIvern,0.00%,12.2
54,JannaJanna,53.48%,12.2
55,Jarvan IVJarvan IV,51.52%,12.2
56,JaxJax,48.54%,12.2
57,JayceJayce,51.00%,12.2
58,JayceJayce,52.50%,12.2
59,JhinJhin,54.69%,12.2
60,JinxJinx,55.14%,12.2
61,Kai'SaKai'Sa,47.47%,12.2
62,KalistaKalista,36.36%,12.2
63,KarmaKarma,47.35%,12.2
64,KarthusKarthus,60.00%,12.2
65,KarthusKarthus,46.67%,12.2
66,KarthusKarthus,43.48%,12.2
67,KassadinKassadin,51.19%,12.2
68,KatarinaKatarina,49.66%,12.2
69,KayleKayle,52.38%,12.2
70,KayleKayle,48.48%,12.2
71,KaynKayn,53.00%,12.2
72,KennenKennen,47.30%,12.2
73,Kha'ZixKha'Zix,51.94%,12.2
74,KindredKindred,60.80%,12.2
75,KledKled,0.00%,12.2
76,Kog'MawKog'Maw,0.00%,12.2
77,LeBlancLeBlanc,53.51%,12.2
78,Lee SinLee Sin,53.13%,12.2
79,LeonaLeona,47.86%,12.2
80,LilliaLillia,50.00%,12.2
81,LissandraLissandra,54.43%,12.2
82,LucianLucian,55.45%,12.2
83,LucianLucian,56.67%,12.2
84,LuluLulu,51.02%,12.2
85,LuxLux,53.85%,12.2
86,LuxLux,62.50%,12.2
87,LuxLux,46.88%,12.2
88,MalphiteMalphite,50.68%,12.2
89,MalzaharMalzahar,51.28%,12.2
90,MaokaiMaokai,0.00%,12.2
91,Master YiMaster Yi,49.28%,12.2
92,Miss FortuneMiss Fortune,59.21%,12.2
93,MordekaiserMordekaiser,65.52%,12.2
94,MorganaMorgana,42.31%,12.2
