,Name,Win %,patch
0,AatroxAatrox,53.35%,12.23
1,AhriAhri,44.22%,12.23
2,AkaliAkali,48.46%,12.23
3,AkaliAkali,43.02%,12.23
4,AkshanAkshan,60.87%,12.23
5,AkshanAkshan,50.00%,12.23
6,AlistarAlistar,52.46%,12.23
7,AmumuAmumu,53.11%,12.23
8,AmumuAmumu,51.16%,12.23
9,AniviaAnivia,44.90%,12.23
10,AnnieAnnie,41.67%,12.23
11,ApheliosAphelios,46.88%,12.23
12,AsheAshe,52.22%,12.23
13,AsheAshe,51.53%,12.23
14,Aurelion SolAurelion Sol,48.89%,12.23
15,AzirAzir,58.82%,12.23
16,AzirAzir,45.88%,12.23
17,BardBard,46.19%,12.23
18,Bel'VethBel'Veth,50.00%,12.23
19,BlitzcrankBlitzcrank,50.69%,12.23
20,BrandBrand,76.92%,12.23
21,BrandBrand,51.76%,12.23
22,BrandBrand,42.86%,12.23
23,BraumBraum,52.54%,12.23
24,CaitlynCaitlyn,49.11%,12.23
25,CamilleCamille,52.39%,12.23
26,CassiopeiaCassiopeia,70.00%,12.23
27,CassiopeiaCassiopeia,51.89%,12.23
28,Cho'GathCho'Gath,62.22%,12.23
29,Cho'GathCho'Gath,48.08%,12.23
30,Cho'GathCho'Gath,44.00%,12.23
31,CorkiCorki,56.90%,12.23
32,DariusDarius,54.28%,12.23
33,DianaDiana,55.46%,12.23
34,DianaDiana,52.12%,12.23
35,Dr. MundoDr. Mundo,52.30%,12.23
36,Dr. MundoDr. Mundo,54.64%,12.23
37,DravenDraven,52.95%,12.23
38,EkkoEkko,52.18%,12.23
39,EkkoEkko,50.97%,12.23
40,EliseElise,58.52%,12.23
41,EvelynnEvelynn,57.00%,12.23
42,EzrealEzreal,49.59%,12.23
43,FiddlesticksFiddlesticks,52.10%,12.23
44,FioraFiora,50.98%,12.23
45,FizzFizz,50.00%,12.23
46,GalioGalio,58.25%,12.23
47,GangplankGangplank,51.80%,12.23
48,GarenGaren,44.09%,12.23
49,GnarGnar,59.20%,12.23
50,GragasGragas,52.27%,12.23
51,GragasGragas,47.45%,12.23
52,GragasGragas,51.52%,12.23
53,GragasGragas,40.28%,12.23
54,GravesGraves,52.54%,12.23
55,GwenGwen,56.82%,12.23
56,GwenGwen,45.71%,12.23
57,HecarimHecarim,54.53%,12.23
58,HeimerdingerHeimerdinger,55.93%,12.23
59,IllaoiIllaoi,45.77%,12.23
60,IreliaIrelia,52.76%,12.23
61,IreliaIrelia,51.83%,12.23
62,IvernIvern,42.22%,12.23
63,JannaJanna,53.99%,12.23
64,Jarvan IVJarvan IV,62.96%,12.23
65,Jarvan IVJarvan IV,50.94%,12.23
66,JaxJax,56.96%,12.23
67,JayceJayce,56.41%,12.23
68,JayceJayce,51.23%,12.23
69,JhinJhin,51.54%,12.23
70,JhinJhin,40.00%,12.23
71,JinxJinx,54.40%,12.23
72,K'SanteK'Sante,52.61%,12.23
73,Kai'SaKai'Sa,51.80%,12.23
74,KalistaKalista,48.76%,12.23
75,KarmaKarma,51.96%,12.23
76,KarmaKarma,53.76%,12.23
77,KarthusKarthus,64.52%,12.23
78,KarthusKarthus,52.17%,12.23
79,KarthusKarthus,53.61%,12.23
80,KassadinKassadin,54.74%,12.23
81,KatarinaKatarina,48.29%,12.23
82,KayleKayle,52.48%,12.23
83,KayleKayle,46.28%,12.23
84,KaynKayn,52.01%,12.23
85,KennenKennen,43.02%,12.23
86,Kha'ZixKha'Zix,53.89%,12.23
87,KindredKindred,58.00%,12.23
88,KledKled,64.00%,12.23
89,KledKled,48.82%,12.23
90,Kog'MawKog'Maw,43.86%,12.23
91,LeBlancLeBlanc,52.40%,12.23
92,Lee SinLee Sin,47.71%,12.23
93,Lee SinLee Sin,45.51%,12.23
94,LeonaLeona,51.61%,12.23
95,LilliaLillia,61.29%,12.23
96,LilliaLillia,50.45%,12.23
97,LissandraLissandra,53.85%,12.23
98,LucianLucian,52.39%,12.23
99,LuluLulu,54.71%,12.23
100,LuxLux,49.91%,12.23
101,LuxLux,51.92%,12.23
102,MalphiteMalphite,44.25%,12.23
103,MalphiteMalphite,45.71%,12.23
104,MalphiteMalphite,40.00%,12.23
105,MalzaharMalzahar,50.49%,12.23
106,MaokaiMaokai,56.11%,12.23
107,MaokaiMaokai,49.30%,12.23
108,Master YiMaster Yi,55.66%,12.23
109,Miss FortuneMiss Fortune,55.31%,12.23
110,MordekaiserMordekaiser,51.05%,12.23
111,MordekaiserMordekaiser,39.31%,12.23
112,MorganaMorgana,51.06%,12.23
113,NamiNami,55.61%,12.23
114,NasusNasus,58.33%,12.23
115,NasusNasus,50.00%,12.23
116,NautilusNautilus,50.76%,12.23
117,NeekoNeeko,50.00%,12.23
118,NeekoNeeko,42.86%,12.23
119,NidaleeNidalee,57.92%,12.23
120,NilahNilah,56.15%,12.23
121,NocturneNocturne,55.56%,12.23
122,NunuNunu,55.00%,12.23
123,NunuNunu,47.24%,12.23
124,OlafOlaf,58.24%,12.23
125,OlafOlaf,59.15%,12.23
126,OriannaOrianna,51.49%,12.23
127,OrnnOrnn,52.60%,12.23
128,OrnnOrnn,62.50%,12.23
129,PantheonPantheon,54.55%,12.23
130,PantheonPantheon,51.35%,12.23
131,PantheonPantheon,45.83%,12.23
132,PoppyPoppy,65.56%,12.23
133,PoppyPoppy,54.79%,12.23
134,PykePyke,51.86%,12.23
135,QiyanaQiyana,46.19%,12.23
136,QiyanaQiyana,53.33%,12.23
137,QuinnQuinn,62.50%,12.23
138,QuinnQuinn,56.92%,12.23
139,RakanRakan,54.11%,12.23
140,RammusRammus,56.25%,12.23
141,Rek'SaiRek'Sai,54.65%,12.23
142,RellRell,56.44%,12.23
143,Renata GlascRenata Glasc,52.25%,12.23
144,RenektonRenekton,54.59%,12.23
145,RenektonRenekton,54.05%,12.23
146,RengarRengar,50.97%,12.23
147,RengarRengar,46.43%,12.23
148,RivenRiven,51.25%,12.23
149,RumbleRumble,50.00%,12.23
150,RumbleRumble,41.51%,12.23
151,RumbleRumble,44.44%,12.23
152,RyzeRyze,59.09%,12.23
153,RyzeRyze,45.35%,12.23
154,SamiraSamira,54.35%,12.23
155,SejuaniSejuani,53.24%,12.23
156,SejuaniSejuani,45.07%,12.23
157,SennaSenna,51.27%,12.23
158,SeraphineSeraphine,53.85%,12.23
159,SeraphineSeraphine,48.55%,12.23
160,SeraphineSeraphine,47.73%,12.23
161,SettSett,50.00%,12.23
162,SettSett,51.52%,12.23
163,ShacoShaco,66.67%,12.23
164,ShacoShaco,52.05%,12.23
165,ShenShen,59.35%,12.23
166,ShyvanaShyvana,53.66%,12.23
167,SingedSinged,76.47%,12.23
168,SingedSinged,51.28%,12.23
169,SionSion,42.75%,12.23
170,SionSion,41.67%,12.23
171,SivirSivir,47.09%,12.23
172,SkarnerSkarner,50.24%,12.23
173,SonaSona,50.00%,12.23
174,SorakaSoraka,55.30%,12.23
175,SwainSwain,62.22%,12.23
176,SwainSwain,49.50%,12.23
177,SwainSwain,45.71%,12.23
178,SylasSylas,52.40%,12.23
179,SylasSylas,56.79%,12.23
180,SyndraSyndra,51.07%,12.23
181,Tahm KenchTahm Kench,60.98%,12.23
182,Tahm KenchTahm Kench,41.89%,12.23
183,TaliyahTaliyah,51.56%,12.23
184,TaliyahTaliyah,53.16%,12.23
185,TalonTalon,50.36%,12.23
186,TalonTalon,47.66%,12.23
187,TaricTaric,66.67%,12.23
188,TaricTaric,47.56%,12.23
189,TeemoTeemo,46.74%,12.23
190,ThreshThresh,52.10%,12.23
191,TristanaTristana,61.64%,12.23
192,TristanaTristana,46.20%,12.23
193,TrundleTrundle,51.28%,12.23
194,TryndamereTryndamere,57.06%,12.23
195,TryndamereTryndamere,55.00%,12.23
196,Twisted FateTwisted Fate,43.81%,12.23
197,TwitchTwitch,50.75%,12.23
198,TwitchTwitch,44.57%,12.23
199,UdyrUdyr,51.99%,12.23
200,UdyrUdyr,46.67%,12.23
201,UrgotUrgot,44.23%,12.23
202,VarusVarus,52.38%,12.23
203,VayneVayne,51.19%,12.23
204,VayneVayne,49.12%,12.23
205,VeigarVeigar,54.84%,12.23
206,VeigarVeigar,40.63%,12.23
207,Vel'KozVel'Koz,64.71%,12.23
208,Vel'KozVel'Koz,51.76%,12.23
209,VexVex,46.93%,12.23
210,ViVi,52.19%,12.23
211,ViegoViego,53.33%,12.23
212,ViktorViktor,51.16%,12.23
213,VladimirVladimir,50.48%,12.23
214,VladimirVladimir,43.90%,12.23
215,VolibearVolibear,51.02%,12.23
216,VolibearVolibear,45.16%,12.23
217,WarwickWarwick,55.35%,12.23
218,WarwickWarwick,44.44%,12.23
219,WukongWukong,56.07%,12.23
220,WukongWukong,55.56%,12.23
221,XayahXayah,54.00%,12.23
222,XerathXerath,45.00%,12.23
223,XerathXerath,43.36%,12.23
224,Xin ZhaoXin Zhao,51.54%,12.23
225,YasuoYasuo,47.36%,12.23
226,YasuoYasuo,51.59%,12.23
227,YasuoYasuo,44.54%,12.23
228,YoneYone,53.50%,12.23
229,YoneYone,51.46%,12.23
230,YorickYorick,55.81%,12.23
231,YuumiYuumi,50.42%,12.23
232,ZacZac,58.55%,12.23
233,ZacZac,62.34%,12.23
234,ZacZac,57.38%,12.23
235,ZedZed,50.91%,12.23
236,ZedZed,51.33%,12.23
237,ZeriZeri,57.70%,12.23
238,ZiggsZiggs,63.64%,12.23
239,ZiggsZiggs,50.57%,12.23
240,ZileanZilean,60.00%,12.23
241,ZileanZilean,46.25%,12.23
242,ZoeZoe,52.87%,12.23
243,ZoeZoe,52.17%,12.23
244,ZyraZyra,57.14%,12.23
