,Name,Win %,patch
0,AatroxAatrox,52.54%,12.13
1,AhriAhri,58.68%,12.13
2,AkaliAkali,42.57%,12.13
3,AkaliAkali,49.23%,12.13
4,AkshanAkshan,50.00%,12.13
5,AkshanAkshan,36.59%,12.13
6,AlistarAlistar,49.47%,12.13
7,AmumuAmumu,65.52%,12.13
8,AmumuAmumu,47.06%,12.13
9,AniviaAnivia,42.86%,12.13
10,AnnieAnnie,51.43%,12.13
11,ApheliosAphelios,48.68%,12.13
12,AsheAshe,54.17%,12.13
13,AsheAshe,49.22%,12.13
14,Aurelion SolAurelion Sol,0.00%,12.13
15,AzirAzir,50.96%,12.13
16,BardBard,53.61%,12.13
17,Bel'VethBel'Veth,54.69%,12.13
18,BlitzcrankBlitzcrank,56.64%,12.13
19,BrandBrand,50.00%,12.13
20,BraumBraum,37.50%,12.13
21,CaitlynCaitlyn,45.37%,12.13
22,CamilleCamille,49.45%,12.13
23,CassiopeiaCassiopeia,52.08%,12.13
24,Cho'GathCho'Gath,52.00%,12.13
25,CorkiCorki,43.06%,12.13
26,DariusDarius,55.38%,12.13
27,DianaDiana,50.62%,12.13
28,Dr. MundoDr. Mundo,51.28%,12.13
29,DravenDraven,51.60%,12.13
30,EkkoEkko,52.46%,12.13
31,EkkoEkko,50.91%,12.13
32,EliseElise,44.83%,12.13
33,EvelynnEvelynn,46.84%,12.13
34,EzrealEzreal,49.06%,12.13
35,FiddlesticksFiddlesticks,61.11%,12.13
36,FioraFiora,56.25%,12.13
37,FizzFizz,37.50%,12.13
38,GalioGalio,44.23%,12.13
39,GangplankGangplank,52.76%,12.13
40,GarenGaren,54.93%,12.13
41,GnarGnar,51.24%,12.13
42,GragasGragas,44.67%,12.13
43,GragasGragas,52.78%,12.13
44,GragasGragas,34.29%,12.13
45,GravesGraves,51.65%,12.13
46,GravesGraves,45.83%,12.13
47,GwenGwen,59.75%,12.13
48,HecarimHecarim,46.00%,12.13
49,HeimerdingerHeimerdinger,66.67%,12.13
50,IllaoiIllaoi,55.71%,12.13
51,IreliaIrelia,54.35%,12.13
52,IreliaIrelia,52.58%,12.13
53,IvernIvern,0.00%,12.13
54,JannaJanna,59.00%,12.13
55,Jarvan IVJarvan IV,52.17%,12.13
56,JaxJax,50.29%,12.13
57,JayceJayce,61.96%,12.13
58,JhinJhin,47.85%,12.13
59,JinxJinx,58.55%,12.13
60,Kai'SaKai'Sa,51.45%,12.13
61,KalistaKalista,52.45%,12.13
62,KarmaKarma,44.16%,12.13
63,KarmaKarma,53.57%,12.13
64,KarthusKarthus,44.19%,12.13
65,KarthusKarthus,48.28%,12.13
66,KassadinKassadin,52.00%,12.13
67,KatarinaKatarina,45.39%,12.13
68,KayleKayle,54.40%,12.13
69,KayleKayle,42.86%,12.13
70,KaynKayn,53.39%,12.13
71,KennenKennen,38.24%,12.13
72,Kha'ZixKha'Zix,50.36%,12.13
73,KindredKindred,44.10%,12.13
74,KledKled,55.56%,12.13
75,Kog'MawKog'Maw,42.37%,12.13
76,LeBlancLeBlanc,50.94%,12.13
77,Lee SinLee Sin,49.40%,12.13
78,LeonaLeona,47.37%,12.13
79,LilliaLillia,50.00%,12.13
80,LilliaLillia,41.76%,12.13
81,LissandraLissandra,52.89%,12.13
82,LucianLucian,55.22%,12.13
83,LuluLulu,53.60%,12.13
84,LuxLux,43.53%,12.13
85,LuxLux,49.47%,12.13
86,MalphiteMalphite,55.26%,12.13
87,MalzaharMalzahar,46.00%,12.13
88,MaokaiMaokai,0.00%,12.13
89,Master YiMaster Yi,46.28%,12.13
90,Master YiMaster Yi,59.26%,12.13
91,Miss FortuneMiss Fortune,49.65%,12.13
92,MordekaiserMordekaiser,58.04%,12.13
93,MordekaiserMordekaiser,55.00%,12.13
94,MorganaMorgana,50.00%,12.13
95,NamiNami,49.75%,12.13
96,NasusNasus,46.81%,12.13
97,NasusNasus,32.14%,12.13
98,NautilusNautilus,48.66%,12.13
99,NeekoNeeko,53.85%,12.13
100,NidaleeNidalee,50.70%,12.13
101,NilahNilah,52.27%,12.13
102,NocturneNocturne,54.90%,12.13
103,NunuNunu,50.00%,12.13
104,OlafOlaf,55.95%,12.13
105,OlafOlaf,61.90%,12.13
106,OlafOlaf,55.00%,12.13
107,OriannaOrianna,50.68%,12.13
108,OrnnOrnn,52.08%,12.13
109,PantheonPantheon,36.00%,12.13
110,PoppyPoppy,61.43%,12.13
111,PoppyPoppy,49.00%,12.13
112,PykePyke,55.62%,12.13
113,QiyanaQiyana,56.70%,12.13
114,QiyanaQiyana,47.78%,12.13
115,QuinnQuinn,40.91%,12.13
116,RakanRakan,50.57%,12.13
117,RammusRammus,51.11%,12.13
118,Rek'SaiRek'Sai,60.83%,12.13
119,RellRell,58.33%,12.13
120,Renata GlascRenata Glasc,53.93%,12.13
121,RenektonRenekton,59.83%,12.13
122,RenektonRenekton,50.00%,12.13
123,RengarRengar,51.96%,12.13
124,RivenRiven,51.98%,12.13
125,RumbleRumble,47.06%,12.13
126,RyzeRyze,54.05%,12.13
127,SamiraSamira,50.00%,12.13
128,SejuaniSejuani,55.56%,12.13
129,SejuaniSejuani,64.29%,12.13
130,SennaSenna,47.75%,12.13
131,SeraphineSeraphine,55.00%,12.13
132,SeraphineSeraphine,48.00%,12.13
133,SeraphineSeraphine,44.74%,12.13
134,SettSett,41.67%,12.13
135,ShacoShaco,57.55%,12.13
136,ShenShen,58.89%,12.13
137,ShyvanaShyvana,52.88%,12.13
138,ShyvanaShyvana,38.89%,12.13
139,SingedSinged,0.00%,12.13
140,SionSion,46.43%,12.13
141,SivirSivir,55.74%,12.13
142,SkarnerSkarner,60.22%,12.13
143,SonaSona,54.33%,12.13
144,SorakaSoraka,53.19%,12.13
145,SwainSwain,53.41%,12.13
146,SwainSwain,51.85%,12.13
147,SylasSylas,54.21%,12.13
148,SylasSylas,51.06%,12.13
149,SyndraSyndra,52.54%,12.13
150,Tahm KenchTahm Kench,56.67%,12.13
151,Tahm KenchTahm Kench,48.28%,12.13
152,Tahm KenchTahm Kench,48.28%,12.13
153,TaliyahTaliyah,57.50%,12.13
154,TaliyahTaliyah,57.09%,12.13
155,TalonTalon,58.72%,12.13
156,TalonTalon,48.84%,12.13
