,Name,Win %,patch
0,AatroxAatrox,52.44%,13.1
1,AhriAhri,50.14%,13.1
2,AkaliAkali,53.35%,13.1
3,AkaliAkali,44.89%,13.1
4,AkshanAkshan,56.76%,13.1
5,AkshanAkshan,53.33%,13.1
6,AlistarAlistar,55.51%,13.1
7,AmumuAmumu,54.95%,13.1
8,AmumuAmumu,51.03%,13.1
9,AniviaAnivia,54.13%,13.1
10,AnnieAnnie,63.41%,13.1
11,AnnieAnnie,57.66%,13.1
12,AnnieAnnie,45.45%,13.1
13,ApheliosAphelios,48.15%,13.1
14,AsheAshe,51.36%,13.1
15,AsheAshe,52.15%,13.1
16,Aurelion SolAurelion Sol,57.89%,13.1
17,AzirAzir,49.83%,13.1
18,BardBard,54.75%,13.1
19,Bel'VethBel'Veth,53.77%,13.1
20,BlitzcrankBlitzcrank,54.76%,13.1
21,BrandBrand,51.43%,13.1
22,BraumBraum,53.23%,13.1
23,CaitlynCaitlyn,52.45%,13.1
24,CamilleCamille,51.30%,13.1
25,CassiopeiaCassiopeia,59.46%,13.1
26,CassiopeiaCassiopeia,51.63%,13.1
27,Cho'GathCho'Gath,62.26%,13.1
28,Cho'GathCho'Gath,50.00%,13.1
29,CorkiCorki,53.01%,13.1
30,DariusDarius,49.57%,13.1
31,DianaDiana,48.87%,13.1
32,DianaDiana,47.62%,13.1
33,Dr. MundoDr. Mundo,57.14%,13.1
34,Dr. MundoDr. Mundo,44.52%,13.1
35,DravenDraven,50.10%,13.1
36,EkkoEkko,51.37%,13.1
37,EkkoEkko,52.79%,13.1
38,EliseElise,60.41%,13.1
39,EvelynnEvelynn,53.66%,13.1
40,EzrealEzreal,52.25%,13.1
41,FiddlesticksFiddlesticks,54.72%,13.1
42,FioraFiora,54.21%,13.1
43,FizzFizz,50.85%,13.1
44,GalioGalio,54.97%,13.1
45,GangplankGangplank,54.53%,13.1
46,GangplankGangplank,49.45%,13.1
47,GarenGaren,53.28%,13.1
48,GarenGaren,41.67%,13.1
49,GnarGnar,52.88%,13.1
50,GragasGragas,64.29%,13.1
51,GragasGragas,56.54%,13.1
52,GragasGragas,57.07%,13.1
53,GravesGraves,53.97%,13.1
54,GwenGwen,51.39%,13.1
55,HecarimHecarim,47.79%,13.1
56,HeimerdingerHeimerdinger,51.71%,13.1
57,HeimerdingerHeimerdinger,60.75%,13.1
58,IllaoiIllaoi,59.59%,13.1
59,IreliaIrelia,53.35%,13.1
60,IreliaIrelia,51.22%,13.1
61,IvernIvern,59.63%,13.1
62,JannaJanna,53.49%,13.1
63,Jarvan IVJarvan IV,73.91%,13.1
64,Jarvan IVJarvan IV,46.63%,13.1
65,JaxJax,53.88%,13.1
66,JayceJayce,53.05%,13.1
67,JayceJayce,57.21%,13.1
68,JhinJhin,52.45%,13.1
69,JhinJhin,42.78%,13.1
70,JinxJinx,54.68%,13.1
71,K'SanteK'Sante,52.30%,13.1
72,Kai'SaKai'Sa,55.65%,13.1
73,KalistaKalista,48.48%,13.1
74,KalistaKalista,32.61%,13.1
75,KarmaKarma,53.24%,13.1
76,KarmaKarma,47.92%,13.1
77,KarthusKarthus,51.04%,13.1
78,KarthusKarthus,50.88%,13.1
79,KarthusKarthus,56.06%,13.1
80,KassadinKassadin,52.76%,13.1
81,KatarinaKatarina,51.95%,13.1
82,KayleKayle,60.00%,13.1
83,KayleKayle,53.95%,13.1
84,KaynKayn,49.53%,13.1
85,KennenKennen,46.34%,13.1
86,KennenKennen,34.78%,13.1
87,Kha'ZixKha'Zix,53.78%,13.1
88,KindredKindred,53.77%,13.1
89,KledKled,54.01%,13.1
90,KledKled,52.94%,13.1
91,Kog'MawKog'Maw,65.38%,13.1
92,Kog'MawKog'Maw,45.45%,13.1
93,LeBlancLeBlanc,46.72%,13.1
94,Lee SinLee Sin,51.64%,13.1
95,LeonaLeona,46.95%,13.1
96,LilliaLillia,50.76%,13.1
97,LissandraLissandra,53.59%,13.1
98,LucianLucian,54.92%,13.1
99,LuluLulu,54.97%,13.1
100,LuxLux,53.69%,13.1
101,LuxLux,55.95%,13.1
102,MalphiteMalphite,50.00%,13.1
103,MalphiteMalphite,41.18%,13.1
104,MalzaharMalzahar,52.66%,13.1
105,MaokaiMaokai,56.99%,13.1
