,Name,Win %,patch
0,AatroxAatrox,48.81%,12.11
1,AhriAhri,51.50%,12.11
2,AkaliAkali,46.36%,12.11
3,AkaliAkali,47.31%,12.11
4,AkshanAkshan,47.89%,12.11
5,AkshanAkshan,42.86%,12.11
6,AlistarAlistar,52.94%,12.11
7,AmumuAmumu,37.50%,12.11
8,AniviaAnivia,51.28%,12.11
9,AnnieAnnie,0.00%,12.11
10,ApheliosAphelios,46.61%,12.11
11,AsheAshe,51.46%,12.11
12,AsheAshe,41.54%,12.11
13,Aurelion SolAurelion Sol,0.00%,12.11
14,AzirAzir,49.44%,12.11
15,AzirAzir,51.72%,12.11
16,BardBard,54.59%,12.11
17,Bel'VethBel'Veth,51.84%,12.11
18,BlitzcrankBlitzcrank,50.74%,12.11
19,BrandBrand,47.83%,12.11
20,BrandBrand,42.42%,12.11
21,BraumBraum,43.40%,12.11
22,CaitlynCaitlyn,52.43%,12.11
23,CamilleCamille,56.04%,12.11
24,CassiopeiaCassiopeia,66.67%,12.11
25,CassiopeiaCassiopeia,56.31%,12.11
26,CassiopeiaCassiopeia,54.84%,12.11
27,Cho'GathCho'Gath,57.69%,12.11
28,CorkiCorki,49.52%,12.11
29,DariusDarius,54.78%,12.11
30,DianaDiana,57.34%,12.11
31,Dr. MundoDr. Mundo,54.17%,12.11
32,DravenDraven,54.01%,12.11
33,EkkoEkko,54.87%,12.11
34,EkkoEkko,55.13%,12.11
35,EliseElise,45.24%,12.11
36,EvelynnEvelynn,45.31%,12.11
37,EzrealEzreal,49.06%,12.11
38,FiddlesticksFiddlesticks,50.85%,12.11
39,FioraFiora,56.89%,12.11
40,FizzFizz,49.12%,12.11
41,GalioGalio,48.84%,12.11
42,GangplankGangplank,48.74%,12.11
43,GangplankGangplank,42.86%,12.11
44,GarenGaren,47.06%,12.11
45,GarenGaren,60.00%,12.11
46,GnarGnar,46.98%,12.11
47,GragasGragas,53.38%,12.11
48,GragasGragas,57.25%,12.11
49,GravesGraves,48.26%,12.11
50,GravesGraves,47.27%,12.11
51,GwenGwen,50.00%,12.11
52,GwenGwen,46.88%,12.11
53,HecarimHecarim,55.56%,12.11
54,HeimerdingerHeimerdinger,0.00%,12.11
55,IllaoiIllaoi,54.69%,12.11
56,IreliaIrelia,53.85%,12.11
57,IreliaIrelia,51.04%,12.11
58,IvernIvern,0.00%,12.11
59,JannaJanna,58.14%,12.11
60,Jarvan IVJarvan IV,54.93%,12.11
61,JaxJax,53.13%,12.11
62,JayceJayce,52.97%,12.11
63,JhinJhin,53.66%,12.11
64,JinxJinx,50.88%,12.11
65,Kai'SaKai'Sa,51.33%,12.11
66,KalistaKalista,52.73%,12.11
67,KarmaKarma,52.28%,12.11
68,KarmaKarma,63.04%,12.11
69,KarthusKarthus,47.30%,12.11
70,KarthusKarthus,52.00%,12.11
71,KarthusKarthus,41.46%,12.11
72,KassadinKassadin,54.81%,12.11
73,KatarinaKatarina,48.00%,12.11
74,KayleKayle,48.71%,12.11
75,KayleKayle,53.33%,12.11
76,KaynKayn,51.71%,12.11
77,KennenKennen,49.40%,12.11
78,Kha'ZixKha'Zix,47.77%,12.11
79,KindredKindred,55.69%,12.11
80,KledKled,48.48%,12.11
81,Kog'MawKog'Maw,45.74%,12.11
82,Kog'MawKog'Maw,47.22%,12.11
83,LeBlancLeBlanc,51.61%,12.11
84,Lee SinLee Sin,47.93%,12.11
85,LeonaLeona,55.48%,12.11
86,LilliaLillia,53.74%,12.11
87,LilliaLillia,45.45%,12.11
88,LissandraLissandra,44.17%,12.11
89,LucianLucian,52.52%,12.11
90,LuluLulu,54.60%,12.11
91,LuxLux,64.41%,12.11
92,LuxLux,40.82%,12.11
93,MalphiteMalphite,44.93%,12.11
94,MalzaharMalzahar,50.00%,12.11
95,MaokaiMaokai,42.31%,12.11
96,Master YiMaster Yi,55.26%,12.11
97,Miss FortuneMiss Fortune,52.00%,12.11
98,MordekaiserMordekaiser,54.13%,12.11
99,MorganaMorgana,47.37%,12.11
100,NamiNami,53.26%,12.11
101,NasusNasus,55.00%,12.11
102,NasusNasus,48.89%,12.11
103,NautilusNautilus,50.54%,12.11
104,NeekoNeeko,68.18%,12.11
105,NidaleeNidalee,51.72%,12.11
106,NocturneNocturne,52.69%,12.11
107,NunuNunu,42.59%,12.11
108,OlafOlaf,50.00%,12.11
109,OlafOlaf,38.24%,12.11
110,OriannaOrianna,59.35%,12.11
111,OrnnOrnn,46.58%,12.11
112,PantheonPantheon,54.84%,12.11
113,PantheonPantheon,60.00%,12.11
114,PoppyPoppy,65.22%,12.11
115,PoppyPoppy,54.29%,12.11
116,PykePyke,51.82%,12.11
117,QiyanaQiyana,43.75%,12.11
118,QiyanaQiyana,45.83%,12.11
119,QuinnQuinn,42.42%,12.11
120,RakanRakan,53.43%,12.11
121,RammusRammus,47.06%,12.11
122,Rek'SaiRek'Sai,57.37%,12.11
123,RellRell,42.31%,12.11
124,Renata GlascRenata Glasc,52.33%,12.11
125,RenektonRenekton,74.07%,12.11
126,RenektonRenekton,43.75%,12.11
127,RengarRengar,54.43%,12.11
128,RengarRengar,26.09%,12.11
129,RivenRiven,55.50%,12.11
130,RumbleRumble,65.63%,12.11
131,RumbleRumble,51.79%,12.11
132,RyzeRyze,51.79%,12.11
133,SamiraSamira,50.23%,12.11
134,SejuaniSejuani,59.26%,12.11
135,SejuaniSejuani,52.48%,12.11
136,SennaSenna,56.19%,12.11
137,SeraphineSeraphine,58.06%,12.11
138,SeraphineSeraphine,41.13%,12.11
139,SeraphineSeraphine,39.74%,12.11
140,SettSett,49.45%,12.11
141,SettSett,55.00%,12.11
142,ShacoShaco,38.57%,12.11
143,ShenShen,55.64%,12.11
144,ShyvanaShyvana,47.76%,12.11
145,SingedSinged,64.29%,12.11
146,SingedSinged,44.12%,12.11
147,SionSion,48.33%,12.11
148,SivirSivir,52.56%,12.11
149,SkarnerSkarner,51.96%,12.11
150,SonaSona,50.62%,12.11
151,SorakaSoraka,49.69%,12.11
152,SwainSwain,64.41%,12.11
153,SwainSwain,50.27%,12.11
154,SwainSwain,46.51%,12.11
155,SwainSwain,35.42%,12.11
156,SylasSylas,56.69%,12.11
157,SylasSylas,34.78%,12.11
158,SyndraSyndra,54.17%,12.11
159,Tahm KenchTahm Kench,62.65%,12.11
160,Tahm KenchTahm Kench,55.00%,12.11
161,Tahm KenchTahm Kench,31.58%,12.11
162,TaliyahTaliyah,52.94%,12.11
163,TaliyahTaliyah,55.29%,12.11
164,TalonTalon,58.90%,12.11
165,TalonTalon,48.68%,12.11
166,TaricTaric,67.09%,12.11
167,TeemoTeemo,60.00%,12.11
168,ThreshThresh,46.85%,12.11
169,TristanaTristana,61.82%,12.11
170,TristanaTristana,47.13%,12.11
171,TrundleTrundle,52.24%,12.11
172,TrundleTrundle,56.00%,12.11
173,TryndamereTryndamere,56.06%,12.11
174,TryndamereTryndamere,63.33%,12.11
175,Twisted FateTwisted Fate,46.67%,12.11
176,TwitchTwitch,54.41%,12.11
177,UdyrUdyr,52.63%,12.11
178,UrgotUrgot,56.59%,12.11
179,VarusVarus,54.67%,12.11
180,VayneVayne,56.36%,12.11
181,VayneVayne,53.73%,12.11
182,VeigarVeigar,51.72%,12.11
183,VeigarVeigar,43.33%,12.11
184,Vel'KozVel'Koz,52.00%,12.11
185,VexVex,45.78%,12.11
186,ViVi,56.32%,12.11
187,ViegoViego,51.28%,12.11
188,ViktorViktor,51.35%,12.11
189,VladimirVladimir,50.38%,12.11
190,VladimirVladimir,45.65%,12.11
191,VolibearVolibear,50.63%,12.11
192,VolibearVolibear,41.24%,12.11
193,WarwickWarwick,75.00%,12.11
194,WarwickWarwick,45.95%,12.11
195,WukongWukong,52.96%,12.11
196,WukongWukong,48.00%,12.11
197,XayahXayah,54.91%,12.11
198,XerathXerath,53.13%,12.11
199,XerathXerath,56.60%,12.11
200,Xin ZhaoXin Zhao,45.37%,12.11
201,YasuoYasuo,51.25%,12.11
202,YasuoYasuo,54.55%,12.11
203,YasuoYasuo,42.25%,12.11
204,YoneYone,51.33%,12.11
205,YoneYone,52.85%,12.11
206,YorickYorick,68.24%,12.11
207,YuumiYuumi,51.81%,12.11
208,ZacZac,51.22%,12.11
209,ZacZac,53.85%,12.11
210,ZedZed,45.32%,12.11
211,ZedZed,47.62%,12.11
212,ZeriZeri,54.99%,12.11
213,ZiggsZiggs,54.35%,12.11
214,ZileanZilean,48.19%,12.11
215,ZileanZilean,48.78%,12.11
216,ZoeZoe,51.18%,12.11
217,ZyraZyra,54.35%,12.11
