,Name,Win %,patch
0,AatroxAatrox,50.47%,12.5
1,AhriAhri,53.21%,12.5
2,AkaliAkali,50.89%,12.5
3,AkaliAkali,48.50%,12.5
4,AkshanAkshan,54.38%,12.5
5,AkshanAkshan,52.33%,12.5
6,AlistarAlistar,53.80%,12.5
7,AmumuAmumu,45.45%,12.5
8,AniviaAnivia,52.85%,12.5
9,AniviaAnivia,44.83%,12.5
10,AnnieAnnie,41.51%,12.5
11,ApheliosAphelios,50.84%,12.5
12,AsheAshe,52.36%,12.5
13,AsheAshe,49.59%,12.5
14,Aurelion SolAurelion Sol,57.89%,12.5
15,AzirAzir,44.44%,12.5
16,BardBard,52.32%,12.5
17,BlitzcrankBlitzcrank,48.88%,12.5
18,BrandBrand,58.62%,12.5
19,BrandBrand,40.91%,12.5
20,BrandBrand,39.47%,12.5
21,BraumBraum,39.05%,12.5
22,CaitlynCaitlyn,49.60%,12.5
23,CamilleCamille,54.30%,12.5
24,CassiopeiaCassiopeia,62.26%,12.5
25,CassiopeiaCassiopeia,52.67%,12.5
26,CassiopeiaCassiopeia,54.05%,12.5
27,Cho'GathCho'Gath,60.75%,12.5
28,Cho'GathCho'Gath,45.26%,12.5
29,CorkiCorki,56.76%,12.5
30,DariusDarius,51.65%,12.5
31,DianaDiana,55.58%,12.5
32,Dr. MundoDr. Mundo,58.18%,12.5
33,DravenDraven,52.72%,12.5
34,EkkoEkko,53.63%,12.5
35,EkkoEkko,51.96%,12.5
36,EliseElise,53.37%,12.5
37,EvelynnEvelynn,54.89%,12.5
38,EzrealEzreal,48.64%,12.5
39,FiddlesticksFiddlesticks,44.52%,12.5
40,FioraFiora,55.49%,12.5
41,FizzFizz,47.15%,12.5
42,GalioGalio,53.69%,12.5
43,GalioGalio,54.39%,12.5
44,GangplankGangplank,53.30%,12.5
45,GarenGaren,50.00%,12.5
46,GnarGnar,52.74%,12.5
47,GragasGragas,60.87%,12.5
48,GragasGragas,48.18%,12.5
49,GragasGragas,50.00%,12.5
50,GravesGraves,52.69%,12.5
51,GravesGraves,51.27%,12.5
52,GwenGwen,51.36%,12.5
53,GwenGwen,49.19%,12.5
54,HecarimHecarim,53.08%,12.5
55,HeimerdingerHeimerdinger,65.85%,12.5
56,HeimerdingerHeimerdinger,40.00%,12.5
57,HeimerdingerHeimerdinger,40.00%,12.5
58,IllaoiIllaoi,50.25%,12.5
59,IreliaIrelia,51.69%,12.5
60,IreliaIrelia,48.94%,12.5
61,IvernIvern,45.00%,12.5
62,JannaJanna,53.63%,12.5
63,Jarvan IVJarvan IV,47.16%,12.5
64,JaxJax,50.70%,12.5
65,JayceJayce,53.51%,12.5
66,JayceJayce,46.96%,12.5
67,JhinJhin,51.98%,12.5
68,JinxJinx,51.66%,12.5
69,Kai'SaKai'Sa,49.53%,12.5
70,Kai'SaKai'Sa,47.98%,12.5
71,KalistaKalista,50.00%,12.5
72,KarmaKarma,52.54%,12.5
73,KarmaKarma,53.66%,12.5
74,KarmaKarma,54.97%,12.5
75,KarthusKarthus,63.64%,12.5
76,KarthusKarthus,54.27%,12.5
77,KarthusKarthus,45.82%,12.5
78,KassadinKassadin,48.21%,12.5
79,KatarinaKatarina,48.66%,12.5
80,KayleKayle,52.49%,12.5
81,KayleKayle,44.12%,12.5
82,KaynKayn,52.71%,12.5
83,KennenKennen,51.88%,12.5
84,KennenKennen,56.41%,12.5
85,Kha'ZixKha'Zix,51.07%,12.5
86,KindredKindred,52.40%,12.5
87,KledKled,51.02%,12.5
88,Kog'MawKog'Maw,62.96%,12.5
89,Kog'MawKog'Maw,54.72%,12.5
90,LeBlancLeBlanc,48.88%,12.5
91,Lee SinLee Sin,51.69%,12.5
92,LeonaLeona,51.75%,12.5
93,LilliaLillia,50.81%,12.5
94,LissandraLissandra,57.52%,12.5
95,LucianLucian,53.59%,12.5
96,LucianLucian,57.75%,12.5
97,LucianLucian,47.13%,12.5
98,LuluLulu,51.39%,12.5
99,LuxLux,53.53%,12.5
100,LuxLux,47.18%,12.5
101,MalphiteMalphite,52.10%,12.5
102,MalzaharMalzahar,44.83%,12.5
103,MaokaiMaokai,58.97%,12.5
104,MaokaiMaokai,45.83%,12.5
105,Master YiMaster Yi,60.42%,12.5
106,Master YiMaster Yi,48.55%,12.5
107,Miss FortuneMiss Fortune,46.75%,12.5
108,MordekaiserMordekaiser,51.72%,12.5
109,MordekaiserMordekaiser,54.17%,12.5
