,Name,Win %,patch
0,AatroxAatrox,50.89%,12.22
1,AhriAhri,55.80%,12.22
2,AkaliAkali,45.45%,12.22
3,AkaliAkali,40.74%,12.22
4,AkshanAkshan,60.98%,12.22
5,AkshanAkshan,53.70%,12.22
6,AlistarAlistar,46.96%,12.22
7,AmumuAmumu,55.56%,12.22
8,AmumuAmumu,39.29%,12.22
9,AniviaAnivia,69.57%,12.22
10,AniviaAnivia,50.72%,12.22
11,AnnieAnnie,44.44%,12.22
12,ApheliosAphelios,47.81%,12.22
13,AsheAshe,54.19%,12.22
14,AsheAshe,47.55%,12.22
15,Aurelion SolAurelion Sol,63.41%,12.22
16,AzirAzir,52.29%,12.22
17,BardBard,44.71%,12.22
18,Bel'VethBel'Veth,54.88%,12.22
19,BlitzcrankBlitzcrank,53.66%,12.22
20,BrandBrand,75.00%,12.22
21,BrandBrand,52.00%,12.22
22,BraumBraum,48.39%,12.22
23,CaitlynCaitlyn,52.25%,12.22
24,CamilleCamille,54.06%,12.22
25,CamilleCamille,63.27%,12.22
26,CassiopeiaCassiopeia,38.60%,12.22
27,Cho'GathCho'Gath,54.72%,12.22
28,Cho'GathCho'Gath,53.06%,12.22
29,CorkiCorki,50.00%,12.22
30,DariusDarius,52.36%,12.22
31,DariusDarius,47.62%,12.22
32,DianaDiana,56.78%,12.22
33,DianaDiana,41.18%,12.22
34,Dr. MundoDr. Mundo,53.66%,12.22
35,Dr. MundoDr. Mundo,42.11%,12.22
36,DravenDraven,49.58%,12.22
37,EkkoEkko,53.56%,12.22
38,EkkoEkko,42.61%,12.22
39,EliseElise,64.42%,12.22
40,EvelynnEvelynn,62.44%,12.22
41,EzrealEzreal,53.07%,12.22
42,FiddlesticksFiddlesticks,50.00%,12.22
43,FioraFiora,57.04%,12.22
44,FizzFizz,43.33%,12.22
45,GalioGalio,46.36%,12.22
46,GangplankGangplank,48.65%,12.22
47,GarenGaren,46.84%,12.22
48,GnarGnar,57.63%,12.22
49,GragasGragas,58.70%,12.22
50,GragasGragas,41.67%,12.22
51,GragasGragas,44.44%,12.22
52,GragasGragas,30.00%,12.22
53,GravesGraves,53.00%,12.22
54,GravesGraves,58.75%,12.22
55,GwenGwen,62.38%,12.22
56,GwenGwen,56.82%,12.22
57,GwenGwen,48.65%,12.22
58,HecarimHecarim,56.30%,12.22
59,HeimerdingerHeimerdinger,52.68%,12.22
60,IllaoiIllaoi,38.10%,12.22
61,IreliaIrelia,57.52%,12.22
62,IreliaIrelia,47.24%,12.22
63,IvernIvern,55.56%,12.22
64,JannaJanna,54.59%,12.22
65,Jarvan IVJarvan IV,59.70%,12.22
66,JaxJax,55.48%,12.22
67,JayceJayce,53.92%,12.22
68,JhinJhin,51.07%,12.22
69,JinxJinx,55.90%,12.22
70,K'SanteK'Sante,46.59%,12.22
71,K'SanteK'Sante,50.00%,12.22
72,Kai'SaKai'Sa,54.98%,12.22
73,KalistaKalista,55.06%,12.22
74,KarmaKarma,56.28%,12.22
75,KarthusKarthus,64.71%,12.22
76,KarthusKarthus,55.33%,12.22
77,KarthusKarthus,60.00%,12.22
78,KassadinKassadin,49.48%,12.22
79,KatarinaKatarina,50.19%,12.22
80,KayleKayle,55.77%,12.22
81,KayleKayle,50.00%,12.22
82,KaynKayn,55.10%,12.22
83,KennenKennen,46.81%,12.22
84,Kha'ZixKha'Zix,55.62%,12.22
85,KindredKindred,50.68%,12.22
86,KledKled,48.57%,12.22
87,Kog'MawKog'Maw,77.27%,12.22
88,Kog'MawKog'Maw,48.91%,12.22
89,LeBlancLeBlanc,53.01%,12.22
90,Lee SinLee Sin,51.78%,12.22
91,LeonaLeona,45.34%,12.22
92,LilliaLillia,59.28%,12.22
93,LilliaLillia,58.70%,12.22
94,LissandraLissandra,47.06%,12.22
95,LucianLucian,55.89%,12.22
96,LuluLulu,51.72%,12.22
97,LuxLux,52.05%,12.22
98,LuxLux,48.94%,12.22
99,MalphiteMalphite,60.87%,12.22
100,MalphiteMalphite,44.78%,12.22
101,MalzaharMalzahar,50.00%,12.22
102,MaokaiMaokai,54.90%,12.22
103,Master YiMaster Yi,46.22%,12.22
104,Miss FortuneMiss Fortune,48.62%,12.22
105,MordekaiserMordekaiser,60.00%,12.22
106,MordekaiserMordekaiser,48.28%,12.22
