,Name,Win %,patch
0,AatroxAatrox,56.04%,12.6
1,AhriAhri,52.10%,12.6
2,AkaliAkali,52.60%,12.6
3,AkaliAkali,47.17%,12.6
4,AkshanAkshan,55.43%,12.6
5,AkshanAkshan,48.85%,12.6
6,AlistarAlistar,46.74%,12.6
7,AmumuAmumu,45.16%,12.6
8,AniviaAnivia,53.70%,12.6
9,AnnieAnnie,57.58%,12.6
10,ApheliosAphelios,49.42%,12.6
11,AsheAshe,54.68%,12.6
12,AsheAshe,54.26%,12.6
13,Aurelion SolAurelion Sol,0.00%,12.6
14,AzirAzir,52.69%,12.6
15,BardBard,56.79%,12.6
16,BlitzcrankBlitzcrank,53.47%,12.6
17,BrandBrand,60.61%,12.6
18,BraumBraum,52.00%,12.6
19,CaitlynCaitlyn,53.48%,12.6
20,CamilleCamille,52.04%,12.6
21,CassiopeiaCassiopeia,68.00%,12.6
22,CassiopeiaCassiopeia,68.00%,12.6
23,CassiopeiaCassiopeia,51.47%,12.6
24,Cho'GathCho'Gath,67.39%,12.6
25,Cho'GathCho'Gath,46.77%,12.6
26,CorkiCorki,46.27%,12.6
27,DariusDarius,54.80%,12.6
28,DianaDiana,53.68%,12.6
29,Dr. MundoDr. Mundo,51.61%,12.6
30,DravenDraven,47.35%,12.6
31,EkkoEkko,54.39%,12.6
32,EkkoEkko,49.67%,12.6
33,EliseElise,62.71%,12.6
34,EvelynnEvelynn,49.65%,12.6
35,EzrealEzreal,53.58%,12.6
36,FiddlesticksFiddlesticks,47.83%,12.6
37,FioraFiora,55.83%,12.6
38,FizzFizz,52.11%,12.6
39,GalioGalio,56.69%,12.6
40,GalioGalio,45.00%,12.6
41,GangplankGangplank,42.93%,12.6
42,GarenGaren,45.54%,12.6
43,GnarGnar,61.21%,12.6
44,GragasGragas,56.31%,12.6
45,GragasGragas,48.15%,12.6
46,GravesGraves,55.08%,12.6
47,GravesGraves,55.28%,12.6
48,GwenGwen,55.07%,12.6
49,HecarimHecarim,57.32%,12.6
50,HeimerdingerHeimerdinger,0.00%,12.6
51,IllaoiIllaoi,43.40%,12.6
52,IreliaIrelia,48.39%,12.6
53,IreliaIrelia,43.18%,12.6
54,IvernIvern,0.00%,12.6
55,JannaJanna,63.36%,12.6
56,Jarvan IVJarvan IV,47.97%,12.6
57,JaxJax,57.09%,12.6
58,JayceJayce,48.10%,12.6
59,JhinJhin,49.46%,12.6
60,JinxJinx,52.73%,12.6
61,Kai'SaKai'Sa,50.98%,12.6
62,Kai'SaKai'Sa,48.59%,12.6
63,KalistaKalista,60.98%,12.6
64,KarmaKarma,49.75%,12.6
65,KarmaKarma,64.29%,12.6
66,KarthusKarthus,47.42%,12.6
67,KarthusKarthus,53.45%,12.6
68,KassadinKassadin,48.72%,12.6
69,KatarinaKatarina,58.54%,12.6
70,KayleKayle,60.45%,12.6
71,KayleKayle,42.86%,12.6
72,KaynKayn,51.25%,12.6
73,KennenKennen,68.00%,12.6
74,KennenKennen,47.79%,12.6
75,Kha'ZixKha'Zix,52.94%,12.6
76,KindredKindred,58.18%,12.6
77,KledKled,50.38%,12.6
78,Kog'MawKog'Maw,54.72%,12.6
79,LeBlancLeBlanc,51.13%,12.6
80,Lee SinLee Sin,54.76%,12.6
81,LeonaLeona,48.82%,12.6
82,LilliaLillia,39.44%,12.6
83,LissandraLissandra,50.00%,12.6
84,LucianLucian,58.61%,12.6
85,LucianLucian,63.93%,12.6
86,LucianLucian,44.55%,12.6
87,LuluLulu,56.12%,12.6
88,LuxLux,46.90%,12.6
89,LuxLux,46.19%,12.6
90,MalphiteMalphite,55.84%,12.6
91,MalphiteMalphite,40.00%,12.6
92,MalzaharMalzahar,53.70%,12.6
93,MaokaiMaokai,62.96%,12.6
94,Master YiMaster Yi,54.29%,12.6
95,Miss FortuneMiss Fortune,52.51%,12.6
96,MordekaiserMordekaiser,64.00%,12.6
97,MorganaMorgana,42.57%,12.6
98,NamiNami,50.36%,12.6
99,NasusNasus,51.32%,12.6
100,NasusNasus,45.83%,12.6
101,NautilusNautilus,48.43%,12.6
102,NeekoNeeko,52.00%,12.6
103,NidaleeNidalee,52.33%,12.6
104,NocturneNocturne,55.24%,12.6
105,NunuNunu,46.81%,12.6
106,OlafOlaf,59.65%,12.6
107,OriannaOrianna,55.14%,12.6
108,OrnnOrnn,51.16%,12.6
109,PantheonPantheon,48.28%,12.6
110,PantheonPantheon,40.00%,12.6
111,PoppyPoppy,67.59%,12.6
112,PoppyPoppy,59.70%,12.6
113,PykePyke,51.97%,12.6
114,QiyanaQiyana,54.07%,12.6
115,QiyanaQiyana,48.72%,12.6
116,QuinnQuinn,54.55%,12.6
117,RakanRakan,49.43%,12.6
118,RammusRammus,65.91%,12.6
119,Rek'SaiRek'Sai,57.69%,12.6
120,RellRell,55.10%,12.6
121,Renata GlascRenata Glasc,55.56%,12.6
122,RenektonRenekton,48.08%,12.6
123,RenektonRenekton,50.00%,12.6
124,RengarRengar,56.73%,12.6
125,RengarRengar,56.67%,12.6
126,RivenRiven,52.50%,12.6
127,RumbleRumble,39.47%,12.6
128,RumbleRumble,45.65%,12.6
129,RyzeRyze,53.85%,12.6
130,RyzeRyze,38.10%,12.6
131,SamiraSamira,55.64%,12.6
132,SejuaniSejuani,58.14%,12.6
133,SejuaniSejuani,57.69%,12.6
134,SennaSenna,56.02%,12.6
135,SeraphineSeraphine,60.00%,12.6
136,SeraphineSeraphine,46.25%,12.6
137,SettSett,68.52%,12.6
138,SettSett,46.00%,12.6
139,ShacoShaco,48.03%,12.6
140,ShenShen,53.85%,12.6
141,ShyvanaShyvana,55.13%,12.6
142,SingedSinged,61.11%,12.6
143,SingedSinged,42.86%,12.6
144,SionSion,51.20%,12.6
145,SionSion,34.62%,12.6
146,SivirSivir,50.00%,12.6
147,SkarnerSkarner,0.00%,12.6
148,SonaSona,52.91%,12.6
149,SorakaSoraka,55.96%,12.6
150,SwainSwain,62.50%,12.6
151,SylasSylas,52.65%,12.6
152,SylasSylas,58.00%,12.6
153,SyndraSyndra,52.32%,12.6
154,Tahm KenchTahm Kench,47.17%,12.6
155,Tahm KenchTahm Kench,43.75%,12.6
156,TaliyahTaliyah,44.93%,12.6
157,TalonTalon,58.04%,12.6
158,TalonTalon,52.25%,12.6
159,TaricTaric,68.97%,12.6
160,TeemoTeemo,48.89%,12.6
161,ThreshThresh,45.87%,12.6
162,TristanaTristana,47.93%,12.6
163,TristanaTristana,41.67%,12.6
164,TrundleTrundle,49.28%,12.6
165,TrundleTrundle,43.75%,12.6
166,TryndamereTryndamere,52.17%,12.6
167,TryndamereTryndamere,59.57%,12.6
168,Twisted FateTwisted Fate,55.56%,12.6
169,TwitchTwitch,54.55%,12.6
170,TwitchTwitch,44.44%,12.6
171,UdyrUdyr,42.86%,12.6
172,UrgotUrgot,60.00%,12.6
173,VarusVarus,50.00%,12.6
174,VayneVayne,58.90%,12.6
175,VayneVayne,48.35%,12.6
176,VeigarVeigar,53.85%,12.6
177,VeigarVeigar,52.00%,12.6
178,Vel'KozVel'Koz,65.63%,12.6
179,Vel'KozVel'Koz,48.15%,12.6
180,VexVex,51.05%,12.6
181,ViVi,58.11%,12.6
182,ViegoViego,50.91%,12.6
183,ViktorViktor,51.59%,12.6
184,VladimirVladimir,56.30%,12.6
185,VladimirVladimir,50.00%,12.6
186,VolibearVolibear,53.97%,12.6
187,VolibearVolibear,48.98%,12.6
188,WarwickWarwick,61.11%,12.6
189,WarwickWarwick,58.06%,12.6
190,WukongWukong,48.61%,12.6
191,XayahXayah,51.26%,12.6
192,XerathXerath,45.36%,12.6
193,XerathXerath,45.45%,12.6
194,Xin ZhaoXin Zhao,48.03%,12.6
195,YasuoYasuo,55.28%,12.6
196,YasuoYasuo,54.17%,12.6
197,YasuoYasuo,55.56%,12.6
198,YoneYone,57.87%,12.6
199,YoneYone,48.88%,12.6
200,YorickYorick,56.94%,12.6
201,YuumiYuumi,48.23%,12.6
202,ZacZac,57.14%,12.6
203,ZedZed,49.34%,12.6
204,ZedZed,48.97%,12.6
205,ZeriZeri,47.87%,12.6
206,ZiggsZiggs,52.54%,12.6
207,ZileanZilean,57.50%,12.6
208,ZileanZilean,45.78%,12.6
209,ZoeZoe,54.84%,12.6
210,ZyraZyra,46.94%,12.6
