,Name,Win %,patch
0,AatroxAatrox,40.59%,13.5
1,AhriAhri,53.78%,13.5
2,AkaliAkali,49.00%,13.5
3,AkaliAkali,48.72%,13.5
4,AkshanAkshan,58.65%,13.5
5,AkshanAkshan,60.00%,13.5
6,AlistarAlistar,55.56%,13.5
7,AmumuAmumu,52.56%,13.5
8,AmumuAmumu,50.77%,13.5
9,AniviaAnivia,48.67%,13.5
10,AnnieAnnie,58.80%,13.5
11,AnnieAnnie,58.40%,13.5
12,ApheliosAphelios,49.72%,13.5
13,AsheAshe,50.00%,13.5
14,AsheAshe,50.32%,13.5
15,Aurelion SolAurelion Sol,48.64%,13.5
16,AzirAzir,45.77%,13.5
17,AzirAzir,36.67%,13.5
18,BardBard,53.95%,13.5
19,Bel'VethBel'Veth,55.73%,13.5
20,BlitzcrankBlitzcrank,54.19%,13.5
21,BrandBrand,50.00%,13.5
22,BraumBraum,49.53%,13.5
23,CaitlynCaitlyn,54.65%,13.5
24,CamilleCamille,54.87%,13.5
25,CassiopeiaCassiopeia,51.97%,13.5
26,CassiopeiaCassiopeia,47.73%,13.5
27,Cho'GathCho'Gath,52.72%,13.5
28,Cho'GathCho'Gath,53.33%,13.5
29,Cho'GathCho'Gath,46.05%,13.5
30,CorkiCorki,43.59%,13.5
31,DariusDarius,51.60%,13.5
32,DianaDiana,50.99%,13.5
33,DianaDiana,50.92%,13.5
34,Dr. MundoDr. Mundo,50.00%,13.5
35,DravenDraven,51.89%,13.5
36,EkkoEkko,50.00%,13.5
37,EkkoEkko,54.71%,13.5
38,EliseElise,53.95%,13.5
39,EvelynnEvelynn,46.89%,13.5
40,EzrealEzreal,50.54%,13.5
41,FiddlesticksFiddlesticks,50.39%,13.5
42,FioraFiora,53.93%,13.5
43,FizzFizz,52.87%,13.5
44,GalioGalio,57.14%,13.5
45,GangplankGangplank,46.36%,13.5
46,GangplankGangplank,60.61%,13.5
47,GarenGaren,52.25%,13.5
48,GnarGnar,45.56%,13.5
49,GragasGragas,52.83%,13.5
50,GragasGragas,48.52%,13.5
51,GragasGragas,51.56%,13.5
52,GravesGraves,48.00%,13.5
53,GwenGwen,52.02%,13.5
54,HecarimHecarim,55.29%,13.5
55,HeimerdingerHeimerdinger,50.82%,13.5
56,HeimerdingerHeimerdinger,52.00%,13.5
57,IllaoiIllaoi,50.93%,13.5
58,IreliaIrelia,51.11%,13.5
59,IreliaIrelia,43.40%,13.5
60,IvernIvern,46.03%,13.5
61,JannaJanna,60.42%,13.5
62,JannaJanna,47.02%,13.5
63,Jarvan IVJarvan IV,53.16%,13.5
64,JaxJax,49.70%,13.5
65,JayceJayce,47.10%,13.5
66,JayceJayce,51.31%,13.5
67,JhinJhin,49.50%,13.5
68,JinxJinx,52.38%,13.5
69,K'SanteK'Sante,51.04%,13.5
70,Kai'SaKai'Sa,54.48%,13.5
71,KalistaKalista,50.40%,13.5
72,KarmaKarma,59.62%,13.5
73,KarmaKarma,47.64%,13.5
74,KarthusKarthus,51.55%,13.5
75,KarthusKarthus,51.15%,13.5
76,KarthusKarthus,41.03%,13.5
77,KassadinKassadin,45.73%,13.5
78,KatarinaKatarina,44.49%,13.5
79,KayleKayle,59.15%,13.5
80,KayleKayle,55.36%,13.5
81,KaynKayn,49.88%,13.5
82,KennenKennen,50.88%,13.5
83,Kha'ZixKha'Zix,47.95%,13.5
84,KindredKindred,53.26%,13.5
85,KledKled,51.52%,13.5
86,KledKled,48.15%,13.5
87,Kog'MawKog'Maw,58.33%,13.5
88,Kog'MawKog'Maw,45.00%,13.5
89,LeBlancLeBlanc,47.29%,13.5
90,Lee SinLee Sin,52.91%,13.5
91,LeonaLeona,48.57%,13.5
92,LilliaLillia,49.51%,13.5
93,LissandraLissandra,52.50%,13.5
94,LucianLucian,52.81%,13.5
95,LuluLulu,46.77%,13.5
96,LuxLux,51.76%,13.5
