,Name,Win %,patch
0,AatroxAatrox,52.00%,12.18
1,AhriAhri,51.54%,12.18
2,AkaliAkali,48.07%,12.18
3,AkaliAkali,48.78%,12.18
4,AkshanAkshan,64.71%,12.18
5,AkshanAkshan,55.77%,12.18
6,AlistarAlistar,50.51%,12.18
7,AmumuAmumu,50.84%,12.18
8,AniviaAnivia,63.83%,12.18
9,AnnieAnnie,45.16%,12.18
10,ApheliosAphelios,48.37%,12.18
11,AsheAshe,50.53%,12.18
12,AsheAshe,44.57%,12.18
13,Aurelion SolAurelion Sol,0.00%,12.18
14,AzirAzir,41.73%,12.18
15,BardBard,53.85%,12.18
16,Bel'VethBel'Veth,48.95%,12.18
17,BlitzcrankBlitzcrank,47.62%,12.18
18,BrandBrand,56.25%,12.18
19,BraumBraum,55.00%,12.18
20,CaitlynCaitlyn,48.04%,12.18
21,CamilleCamille,51.54%,12.18
22,CassiopeiaCassiopeia,67.57%,12.18
23,Cho'GathCho'Gath,65.22%,12.18
24,Cho'GathCho'Gath,50.00%,12.18
25,CorkiCorki,51.72%,12.18
26,DariusDarius,53.15%,12.18
27,DianaDiana,52.08%,12.18
28,DianaDiana,45.71%,12.18
29,Dr. MundoDr. Mundo,51.43%,12.18
30,DravenDraven,47.50%,12.18
31,EkkoEkko,60.36%,12.18
32,EkkoEkko,48.65%,12.18
33,EliseElise,54.55%,12.18
34,EvelynnEvelynn,62.22%,12.18
35,EzrealEzreal,50.59%,12.18
36,FiddlesticksFiddlesticks,50.70%,12.18
37,FioraFiora,53.19%,12.18
38,FizzFizz,28.00%,12.18
39,GalioGalio,50.00%,12.18
40,GangplankGangplank,44.12%,12.18
41,GarenGaren,63.41%,12.18
42,GnarGnar,44.12%,12.18
43,GragasGragas,49.47%,12.18
44,GravesGraves,49.30%,12.18
45,GwenGwen,54.55%,12.18
46,HecarimHecarim,49.15%,12.18
47,HeimerdingerHeimerdinger,55.56%,12.18
48,HeimerdingerHeimerdinger,53.00%,12.18
49,HeimerdingerHeimerdinger,51.61%,12.18
50,IllaoiIllaoi,53.75%,12.18
51,IreliaIrelia,53.91%,12.18
52,IreliaIrelia,52.38%,12.18
53,IvernIvern,65.22%,12.18
54,JannaJanna,56.55%,12.18
55,Jarvan IVJarvan IV,45.13%,12.18
