,Name,Win %,patch
0,AatroxAatrox,57.83%,12.9
1,AhriAhri,55.65%,12.9
2,AkaliAkali,51.54%,12.9
3,AkaliAkali,50.57%,12.9
4,AkshanAkshan,66.00%,12.9
5,AkshanAkshan,55.93%,12.9
6,AlistarAlistar,56.38%,12.9
7,AmumuAmumu,0.00%,12.9
8,AniviaAnivia,48.98%,12.9
9,AnnieAnnie,0.00%,12.9
10,ApheliosAphelios,44.49%,12.9
11,AsheAshe,45.07%,12.9
12,Aurelion SolAurelion Sol,0.00%,12.9
13,AzirAzir,48.28%,12.9
14,BardBard,52.33%,12.9
15,BlitzcrankBlitzcrank,50.68%,12.9
16,BrandBrand,53.85%,12.9
17,BraumBraum,48.89%,12.9
18,CaitlynCaitlyn,51.92%,12.9
19,CamilleCamille,50.46%,12.9
20,CassiopeiaCassiopeia,53.19%,12.9
21,Cho'GathCho'Gath,67.50%,12.9
22,Cho'GathCho'Gath,69.57%,12.9
23,CorkiCorki,43.59%,12.9
24,DariusDarius,50.36%,12.9
25,DianaDiana,54.96%,12.9
26,DianaDiana,41.94%,12.9
27,Dr. MundoDr. Mundo,47.83%,12.9
28,DravenDraven,46.86%,12.9
29,EkkoEkko,58.41%,12.9
30,EkkoEkko,50.63%,12.9
31,EliseElise,48.89%,12.9
32,EvelynnEvelynn,49.06%,12.9
33,EzrealEzreal,55.32%,12.9
34,FiddlesticksFiddlesticks,57.69%,12.9
35,FioraFiora,54.26%,12.9
36,FizzFizz,55.56%,12.9
37,GalioGalio,48.10%,12.9
38,GangplankGangplank,49.14%,12.9
39,GarenGaren,54.43%,12.9
40,GnarGnar,46.75%,12.9
41,GragasGragas,51.25%,12.9
42,GragasGragas,38.10%,12.9
43,GravesGraves,51.84%,12.9
44,GravesGraves,61.19%,12.9
45,GwenGwen,51.16%,12.9
46,GwenGwen,62.96%,12.9
47,HecarimHecarim,50.00%,12.9
48,HeimerdingerHeimerdinger,0.00%,12.9
49,IllaoiIllaoi,50.00%,12.9
50,IreliaIrelia,49.49%,12.9
51,IreliaIrelia,47.00%,12.9
52,IvernIvern,39.13%,12.9
53,JannaJanna,60.48%,12.9
54,Jarvan IVJarvan IV,48.48%,12.9
55,JaxJax,53.85%,12.9
56,JayceJayce,53.45%,12.9
57,JhinJhin,54.02%,12.9
58,JinxJinx,53.47%,12.9
59,Kai'SaKai'Sa,53.42%,12.9
60,KalistaKalista,52.17%,12.9
61,KarmaKarma,50.81%,12.9
62,KarmaKarma,51.43%,12.9
63,KarthusKarthus,68.42%,12.9
64,KarthusKarthus,45.86%,12.9
65,KarthusKarthus,51.28%,12.9
66,KassadinKassadin,66.22%,12.9
67,KatarinaKatarina,53.96%,12.9
68,KayleKayle,62.62%,12.9
69,KayleKayle,44.83%,12.9
70,KaynKayn,52.46%,12.9
71,KennenKennen,57.50%,12.9
72,KennenKennen,50.59%,12.9
73,Kha'ZixKha'Zix,58.93%,12.9
74,KindredKindred,58.79%,12.9
75,KledKled,64.58%,12.9
76,Kog'MawKog'Maw,62.50%,12.9
77,LeBlancLeBlanc,41.91%,12.9
78,Lee SinLee Sin,48.99%,12.9
79,LeonaLeona,53.24%,12.9
80,LilliaLillia,47.06%,12.9
81,LissandraLissandra,56.67%,12.9
82,LucianLucian,55.02%,12.9
83,LucianLucian,43.66%,12.9
84,LuluLulu,52.05%,12.9
85,LuxLux,52.38%,12.9
86,LuxLux,46.25%,12.9
87,MalphiteMalphite,50.77%,12.9
88,MalzaharMalzahar,55.00%,12.9
89,MaokaiMaokai,0.00%,12.9
90,Master YiMaster Yi,42.50%,12.9
91,Miss FortuneMiss Fortune,50.44%,12.9
92,MordekaiserMordekaiser,50.91%,12.9
93,MorganaMorgana,43.08%,12.9
94,NamiNami,51.94%,12.9
95,NasusNasus,48.39%,12.9
96,NasusNasus,40.91%,12.9
97,NautilusNautilus,52.71%,12.9
98,NeekoNeeko,0.00%,12.9
99,NidaleeNidalee,50.57%,12.9
100,NocturneNocturne,60.19%,12.9
101,NunuNunu,43.75%,12.9
102,OlafOlaf,59.26%,12.9
103,OlafOlaf,53.93%,12.9
104,OriannaOrianna,38.46%,12.9
105,OrnnOrnn,40.74%,12.9
106,PantheonPantheon,56.52%,12.9
107,PantheonPantheon,47.22%,12.9
108,PoppyPoppy,47.01%,12.9
109,PoppyPoppy,43.14%,12.9
110,PykePyke,48.80%,12.9
111,QiyanaQiyana,52.83%,12.9
112,QiyanaQiyana,46.03%,12.9
113,QuinnQuinn,46.15%,12.9
114,RakanRakan,54.14%,12.9
115,RammusRammus,40.91%,12.9
116,Rek'SaiRek'Sai,50.36%,12.9
117,RellRell,54.84%,12.9
118,Renata GlascRenata Glasc,58.23%,12.9
119,RenektonRenekton,53.15%,12.9
120,RenektonRenekton,48.48%,12.9
121,RengarRengar,57.14%,12.9
122,RengarRengar,57.14%,12.9
123,RivenRiven,60.40%,12.9
124,RumbleRumble,65.52%,12.9
125,RumbleRumble,53.57%,12.9
126,RyzeRyze,43.75%,12.9
127,SamiraSamira,56.15%,12.9
128,SejuaniSejuani,58.82%,12.9
129,SejuaniSejuani,31.82%,12.9
130,SennaSenna,58.57%,12.9
131,SeraphineSeraphine,50.00%,12.9
132,SettSett,68.00%,12.9
133,SettSett,48.15%,12.9
134,ShacoShaco,51.82%,12.9
135,ShenShen,59.79%,12.9
136,ShyvanaShyvana,53.42%,12.9
137,SingedSinged,53.49%,12.9
138,SionSion,49.49%,12.9
139,SivirSivir,45.83%,12.9
140,SkarnerSkarner,50.00%,12.9
141,SonaSona,53.26%,12.9
142,SorakaSoraka,51.03%,12.9
143,SwainSwain,73.68%,12.9
144,SwainSwain,50.00%,12.9
145,SwainSwain,46.67%,12.9
146,SwainSwain,46.67%,12.9
147,SylasSylas,49.75%,12.9
148,SyndraSyndra,46.88%,12.9
149,Tahm KenchTahm Kench,64.00%,12.9
150,Tahm KenchTahm Kench,47.06%,12.9
151,Tahm KenchTahm Kench,33.33%,12.9
152,TaliyahTaliyah,59.02%,12.9
153,TaliyahTaliyah,58.12%,12.9
154,TalonTalon,49.03%,12.9
155,TalonTalon,49.45%,12.9
156,TaricTaric,64.29%,12.9
157,TeemoTeemo,47.73%,12.9
158,ThreshThresh,48.68%,12.9
159,TristanaTristana,53.39%,12.9
160,TristanaTristana,46.67%,12.9
161,TrundleTrundle,41.94%,12.9
162,TryndamereTryndamere,50.86%,12.9
163,Twisted FateTwisted Fate,48.48%,12.9
164,TwitchTwitch,55.66%,12.9
165,UdyrUdyr,52.38%,12.9
166,UrgotUrgot,56.82%,12.9
167,VarusVarus,27.91%,12.9
