,Name,Win %,patch
0,AatroxAatrox,45.65%,12.12
1,AhriAhri,52.51%,12.12
2,AkaliAkali,53.49%,12.12
3,AkaliAkali,37.97%,12.12
4,AkshanAkshan,53.85%,12.12
5,AkshanAkshan,42.86%,12.12
6,AlistarAlistar,56.06%,12.12
7,AmumuAmumu,66.67%,12.12
8,AmumuAmumu,53.42%,12.12
9,AniviaAnivia,54.12%,12.12
10,AnnieAnnie,56.16%,12.12
11,AnnieAnnie,45.83%,12.12
12,ApheliosAphelios,47.54%,12.12
13,AsheAshe,54.36%,12.12
14,AsheAshe,48.65%,12.12
15,Aurelion SolAurelion Sol,45.71%,12.12
16,AzirAzir,58.19%,12.12
17,BardBard,55.22%,12.12
18,Bel'VethBel'Veth,51.92%,12.12
19,BlitzcrankBlitzcrank,50.00%,12.12
20,BrandBrand,66.67%,12.12
21,BrandBrand,30.00%,12.12
22,BraumBraum,47.37%,12.12
23,CaitlynCaitlyn,49.08%,12.12
24,CamilleCamille,55.69%,12.12
25,CassiopeiaCassiopeia,56.76%,12.12
26,Cho'GathCho'Gath,63.64%,12.12
27,Cho'GathCho'Gath,44.44%,12.12
28,CorkiCorki,57.08%,12.12
29,DariusDarius,49.79%,12.12
30,DianaDiana,59.44%,12.12
31,Dr. MundoDr. Mundo,44.83%,12.12
32,DravenDraven,52.81%,12.12
33,EkkoEkko,54.43%,12.12
34,EkkoEkko,45.16%,12.12
35,EliseElise,62.50%,12.12
36,EvelynnEvelynn,56.34%,12.12
37,EzrealEzreal,50.18%,12.12
38,FiddlesticksFiddlesticks,52.17%,12.12
39,FioraFiora,56.31%,12.12
40,FizzFizz,39.53%,12.12
41,GalioGalio,50.00%,12.12
42,GangplankGangplank,52.41%,12.12
43,GangplankGangplank,45.65%,12.12
44,GarenGaren,57.05%,12.12
45,GnarGnar,53.50%,12.12
46,GragasGragas,47.74%,12.12
47,GragasGragas,49.51%,12.12
48,GravesGraves,51.01%,12.12
49,GwenGwen,53.69%,12.12
50,GwenGwen,50.00%,12.12
51,HecarimHecarim,50.39%,12.12
52,HeimerdingerHeimerdinger,76.19%,12.12
53,HeimerdingerHeimerdinger,66.67%,12.12
54,HeimerdingerHeimerdinger,46.67%,12.12
55,IllaoiIllaoi,50.00%,12.12
56,IreliaIrelia,53.25%,12.12
57,IreliaIrelia,53.24%,12.12
58,IvernIvern,56.25%,12.12
59,JannaJanna,55.50%,12.12
60,Jarvan IVJarvan IV,61.17%,12.12
61,JaxJax,52.70%,12.12
62,JayceJayce,45.73%,12.12
63,JhinJhin,52.97%,12.12
64,JinxJinx,48.15%,12.12
65,Kai'SaKai'Sa,50.00%,12.12
66,KalistaKalista,56.92%,12.12
67,KarmaKarma,44.76%,12.12
68,KarmaKarma,42.86%,12.12
69,KarthusKarthus,65.71%,12.12
70,KarthusKarthus,50.00%,12.12
71,KarthusKarthus,40.80%,12.12
72,KassadinKassadin,50.68%,12.12
73,KatarinaKatarina,53.01%,12.12
74,KayleKayle,57.92%,12.12
75,KayleKayle,63.33%,12.12
76,KaynKayn,49.74%,12.12
77,KennenKennen,53.33%,12.12
78,Kha'ZixKha'Zix,49.76%,12.12
79,KindredKindred,50.39%,12.12
80,KledKled,46.81%,12.12
81,Kog'MawKog'Maw,57.84%,12.12
82,LeBlancLeBlanc,48.04%,12.12
83,Lee SinLee Sin,51.63%,12.12
84,LeonaLeona,46.22%,12.12
85,LilliaLillia,52.60%,12.12
86,LilliaLillia,58.73%,12.12
87,LissandraLissandra,56.55%,12.12
88,LucianLucian,53.55%,12.12
89,LuluLulu,54.04%,12.12
90,LuxLux,57.97%,12.12
91,LuxLux,60.00%,12.12
92,MalphiteMalphite,43.14%,12.12
93,MalzaharMalzahar,47.92%,12.12
94,MaokaiMaokai,0.00%,12.12
95,Master YiMaster Yi,42.55%,12.12
96,Miss FortuneMiss Fortune,53.50%,12.12
97,MordekaiserMordekaiser,53.77%,12.12
98,MordekaiserMordekaiser,45.00%,12.12
99,MorganaMorgana,47.87%,12.12
100,NamiNami,52.87%,12.12
101,NasusNasus,47.37%,12.12
102,NasusNasus,45.83%,12.12
103,NautilusNautilus,47.19%,12.12
104,NeekoNeeko,50.00%,12.12
105,NidaleeNidalee,49.24%,12.12
106,NocturneNocturne,54.26%,12.12
107,NunuNunu,60.56%,12.12
108,OlafOlaf,61.29%,12.12
109,OlafOlaf,48.00%,12.12
110,OriannaOrianna,47.67%,12.12
111,OrnnOrnn,53.28%,12.12
112,PantheonPantheon,50.00%,12.12
113,PantheonPantheon,47.83%,12.12
114,PantheonPantheon,32.35%,12.12
115,PoppyPoppy,56.98%,12.12
116,PoppyPoppy,46.25%,12.12
117,PykePyke,50.42%,12.12
118,QiyanaQiyana,51.72%,12.12
119,QiyanaQiyana,53.85%,12.12
120,QuinnQuinn,50.00%,12.12
121,RakanRakan,51.58%,12.12
122,RammusRammus,68.33%,12.12
123,Rek'SaiRek'Sai,48.17%,12.12
124,RellRell,43.75%,12.12
125,Renata GlascRenata Glasc,51.39%,12.12
126,RenektonRenekton,37.50%,12.12
127,RengarRengar,67.44%,12.12
128,RengarRengar,48.48%,12.12
129,RivenRiven,50.00%,12.12
130,RumbleRumble,58.33%,12.12
131,RumbleRumble,55.17%,12.12
132,RumbleRumble,45.45%,12.12
133,RyzeRyze,36.96%,12.12
134,SamiraSamira,50.00%,12.12
135,SejuaniSejuani,55.41%,12.12
136,SejuaniSejuani,57.14%,12.12
137,SennaSenna,56.61%,12.12
138,SeraphineSeraphine,54.01%,12.12
139,SeraphineSeraphine,52.02%,12.12
140,SeraphineSeraphine,48.00%,12.12
141,SettSett,60.00%,12.12
142,SettSett,49.18%,12.12
143,ShacoShaco,51.70%,12.12
144,ShenShen,55.05%,12.12
145,ShyvanaShyvana,48.04%,12.12
146,ShyvanaShyvana,47.95%,12.12
147,SingedSinged,55.56%,12.12
148,SingedSinged,38.30%,12.12
149,SionSion,49.23%,12.12
150,SivirSivir,62.71%,12.12
151,SkarnerSkarner,57.89%,12.12
152,SonaSona,50.98%,12.12
153,SorakaSoraka,48.83%,12.12
154,SwainSwain,58.59%,12.12
155,SwainSwain,66.10%,12.12
156,SwainSwain,52.11%,12.12
157,SwainSwain,54.24%,12.12
158,SylasSylas,57.58%,12.12
159,SyndraSyndra,51.06%,12.12
160,Tahm KenchTahm Kench,50.68%,12.12
161,Tahm KenchTahm Kench,56.92%,12.12
162,Tahm KenchTahm Kench,30.95%,12.12
163,TaliyahTaliyah,49.12%,12.12
164,TaliyahTaliyah,47.31%,12.12
165,TalonTalon,56.84%,12.12
166,TalonTalon,53.80%,12.12
167,TaricTaric,58.66%,12.12
168,TeemoTeemo,55.38%,12.12
169,TeemoTeemo,53.57%,12.12
170,ThreshThresh,42.38%,12.12
171,TristanaTristana,60.13%,12.12
172,TristanaTristana,47.69%,12.12
173,TrundleTrundle,51.22%,12.12
174,TrundleTrundle,40.48%,12.12
175,TryndamereTryndamere,55.45%,12.12
176,Twisted FateTwisted Fate,61.36%,12.12
177,TwitchTwitch,52.66%,12.12
178,UdyrUdyr,48.86%,12.12
179,UrgotUrgot,45.68%,12.12
180,VarusVarus,42.47%,12.12
