,Name,Win %,patch
0,AatroxAatrox,51.53%,13.3
1,AhriAhri,52.94%,13.3
2,AkaliAkali,52.76%,13.3
3,AkaliAkali,39.47%,13.3
4,AkshanAkshan,57.69%,13.3
5,AkshanAkshan,57.14%,13.3
6,AlistarAlistar,52.73%,13.3
7,AlistarAlistar,35.14%,13.3
8,AmumuAmumu,55.56%,13.3
9,AmumuAmumu,44.66%,13.3
10,AniviaAnivia,50.29%,13.3
11,AnnieAnnie,61.30%,13.3
12,AnnieAnnie,55.56%,13.3
13,ApheliosAphelios,54.60%,13.3
14,AsheAshe,53.02%,13.3
15,AsheAshe,53.13%,13.3
16,Aurelion SolAurelion Sol,51.76%,13.3
17,AzirAzir,48.28%,13.3
18,BardBard,45.00%,13.3
19,Bel'VethBel'Veth,49.74%,13.3
20,Bel'VethBel'Veth,40.82%,13.3
21,BlitzcrankBlitzcrank,52.62%,13.3
22,BrandBrand,56.41%,13.3
23,BrandBrand,47.06%,13.3
24,BraumBraum,63.58%,13.3
25,CaitlynCaitlyn,50.74%,13.3
26,CamilleCamille,52.05%,13.3
27,CassiopeiaCassiopeia,57.59%,13.3
28,CassiopeiaCassiopeia,44.44%,13.3
29,Cho'GathCho'Gath,43.48%,13.3
30,Cho'GathCho'Gath,44.07%,13.3
31,CorkiCorki,68.33%,13.3
32,DariusDarius,51.55%,13.3
33,DianaDiana,53.11%,13.3
34,DianaDiana,50.00%,13.3
35,Dr. MundoDr. Mundo,66.00%,13.3
36,DravenDraven,51.95%,13.3
37,EkkoEkko,51.53%,13.3
38,EkkoEkko,47.90%,13.3
39,EliseElise,60.83%,13.3
40,EvelynnEvelynn,46.71%,13.3
41,EzrealEzreal,53.68%,13.3
42,FiddlesticksFiddlesticks,41.67%,13.3
43,FiddlesticksFiddlesticks,28.00%,13.3
44,FioraFiora,50.49%,13.3
45,FizzFizz,45.45%,13.3
46,GalioGalio,47.66%,13.3
47,GangplankGangplank,52.69%,13.3
48,GarenGaren,41.25%,13.3
49,GnarGnar,48.78%,13.3
50,GragasGragas,53.27%,13.3
51,GragasGragas,54.35%,13.3
